nl_question,sparql_partial_uri,sparql_complete_uri
How many authors are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :authors . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/authors> . }
Count the number of authors.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :authors . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/authors> . }
How many institutions are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :inst . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/inst> . }
Count the number of institutions.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :inst . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/inst> . }
How many papers are published in total?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :papers . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/papers> . }
Count the number of total papers.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :papers . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/papers> . }
What are the titles of papers published by 'Jeremy Gibbons'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_title WHERE { ?T1 a :papers . ?T13 a :authorship . ?T13 :ref-paper ?T1 . ?T1 :title ?T1_title . ?T2 :fname ?T2_fname . ?T2 :lname ?T2_lname . ?T2 a :authors . ?T13 :ref-auth ?T2 . ?T1 :title ?T1_title . ?T2 :fname ?T2_fname . ?T2 :lname ?T2_lname . FILTER(?T2_fname = 'Jeremy' && ?T2_lname = 'Gibbons') . }",SELECT ?T1_title WHERE { ?T1 a <http://valuenet/ontop/papers> . ?T13 a <http://valuenet/ontop/authorship> . ?T13 <http://valuenet/ontop/ref-paper> ?T1 . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T2 <http://valuenet/ontop/fname> ?T2_fname . ?T2 <http://valuenet/ontop/lname> ?T2_lname . ?T2 a <http://valuenet/ontop/authors> . ?T13 <http://valuenet/ontop/ref-auth> ?T2 . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T2 <http://valuenet/ontop/fname> ?T2_fname . ?T2 <http://valuenet/ontop/lname> ?T2_lname . FILTER(?T2_fname = 'Jeremy' && ?T2_lname = 'Gibbons') . }
Find the titles of all the papers written by 'Jeremy Gibbons',"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_title WHERE { ?T1 a :papers . ?T13 a :authorship . ?T13 :ref-paper ?T1 . ?T1 :title ?T1_title . ?T2 :fname ?T2_fname . ?T2 :lname ?T2_lname . ?T2 a :authors . ?T13 :ref-auth ?T2 . ?T1 :title ?T1_title . ?T2 :fname ?T2_fname . ?T2 :lname ?T2_lname . FILTER(?T2_fname = 'Jeremy' && ?T2_lname = 'Gibbons') . }",SELECT ?T1_title WHERE { ?T1 a <http://valuenet/ontop/papers> . ?T13 a <http://valuenet/ontop/authorship> . ?T13 <http://valuenet/ontop/ref-paper> ?T1 . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T2 <http://valuenet/ontop/fname> ?T2_fname . ?T2 <http://valuenet/ontop/lname> ?T2_lname . ?T2 a <http://valuenet/ontop/authors> . ?T13 <http://valuenet/ontop/ref-auth> ?T2 . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T2 <http://valuenet/ontop/fname> ?T2_fname . ?T2 <http://valuenet/ontop/lname> ?T2_lname . FILTER(?T2_fname = 'Jeremy' && ?T2_lname = 'Gibbons') . }
Find all the papers published by 'Aaron Turon'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_title WHERE { ?T1 a :papers . ?T13 a :authorship . ?T13 :ref-paper ?T1 . ?T1 :title ?T1_title . ?T2 :fname ?T2_fname . ?T2 :lname ?T2_lname . ?T2 a :authors . ?T13 :ref-auth ?T2 . ?T1 :title ?T1_title . ?T2 :fname ?T2_fname . ?T2 :lname ?T2_lname . FILTER(?T2_fname = 'Aaron' && ?T2_lname = 'Turon') . }",SELECT ?T1_title WHERE { ?T1 a <http://valuenet/ontop/papers> . ?T13 a <http://valuenet/ontop/authorship> . ?T13 <http://valuenet/ontop/ref-paper> ?T1 . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T2 <http://valuenet/ontop/fname> ?T2_fname . ?T2 <http://valuenet/ontop/lname> ?T2_lname . ?T2 a <http://valuenet/ontop/authors> . ?T13 <http://valuenet/ontop/ref-auth> ?T2 . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T2 <http://valuenet/ontop/fname> ?T2_fname . ?T2 <http://valuenet/ontop/lname> ?T2_lname . FILTER(?T2_fname = 'Aaron' && ?T2_lname = 'Turon') . }
Find the titles of all the papers written by 'Aaron Turon'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_title WHERE { ?T1 a :papers . ?T13 a :authorship . ?T13 :ref-paper ?T1 . ?T1 :title ?T1_title . ?T2 :fname ?T2_fname . ?T2 :lname ?T2_lname . ?T2 a :authors . ?T13 :ref-auth ?T2 . ?T1 :title ?T1_title . ?T2 :fname ?T2_fname . ?T2 :lname ?T2_lname . FILTER(?T2_fname = 'Aaron' && ?T2_lname = 'Turon') . }",SELECT ?T1_title WHERE { ?T1 a <http://valuenet/ontop/papers> . ?T13 a <http://valuenet/ontop/authorship> . ?T13 <http://valuenet/ontop/ref-paper> ?T1 . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T2 <http://valuenet/ontop/fname> ?T2_fname . ?T2 <http://valuenet/ontop/lname> ?T2_lname . ?T2 a <http://valuenet/ontop/authors> . ?T13 <http://valuenet/ontop/ref-auth> ?T2 . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T2 <http://valuenet/ontop/fname> ?T2_fname . ?T2 <http://valuenet/ontop/lname> ?T2_lname . FILTER(?T2_fname = 'Aaron' && ?T2_lname = 'Turon') . }
How many papers have 'Atsushi Ohori' published?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :authors . ?T1 :fname ?T1_fname . ?T1 :lname ?T1_lname . FILTER(?T1_fname = 'Atsushi' && ?T1_lname = 'Ohori') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/authors> . ?T1 <http://valuenet/ontop/fname> ?T1_fname . ?T1 <http://valuenet/ontop/lname> ?T1_lname . FILTER(?T1_fname = 'Atsushi' && ?T1_lname = 'Ohori') . }
