nl_question,sparql_partial_uri,sparql_complete_uri
What is id of the city that hosted events in the most recent year?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_host_city WHERE { ?T1 a :hosting_city . ?T1 :host_city ?T1_host_city . ?T1 :year ?T1_year . } ORDER BY DESC (?T1_year) LIMIT 1",SELECT ?T1_host_city WHERE { ?T1 a <http://valuenet/ontop/hosting_city> . ?T1 <http://valuenet/ontop/host_city> ?T1_host_city . ?T1 <http://valuenet/ontop/year> ?T1_year . } ORDER BY DESC (?T1_year) LIMIT 1
Find the city that hosted some events in the most recent year. What is the id of this city?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_host_city WHERE { ?T1 a :hosting_city . ?T1 :host_city ?T1_host_city . ?T1 :year ?T1_year . } ORDER BY DESC (?T1_year) LIMIT 1",SELECT ?T1_host_city WHERE { ?T1 a <http://valuenet/ontop/hosting_city> . ?T1 <http://valuenet/ontop/host_city> ?T1_host_city . ?T1 <http://valuenet/ontop/year> ?T1_year . } ORDER BY DESC (?T1_year) LIMIT 1
Find the match ids of the cities that hosted competition '1994 FIFA World Cup qualification'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_match_id WHERE { ?T1 a :match . ?T1 :match_id ?T1_match_id . ?T1 :competition ?T1_competition . FILTER(?T1_competition = '1994 FIFA World Cup qualification') . }",SELECT ?T1_match_id WHERE { ?T1 a <http://valuenet/ontop/match> . ?T1 <http://valuenet/ontop/match_id> ?T1_match_id . ?T1 <http://valuenet/ontop/competition> ?T1_competition . FILTER(?T1_competition = '1994 FIFA World Cup qualification') . }
What is the match id of the competition called '1994 FIFA World Cup qualification'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_match_id WHERE { ?T1 a :match . ?T1 :match_id ?T1_match_id . ?T1 :competition ?T1_competition . FILTER(?T1_competition = '1994 FIFA World Cup qualification') . }",SELECT ?T1_match_id WHERE { ?T1 a <http://valuenet/ontop/match> . ?T1 <http://valuenet/ontop/match_id> ?T1_match_id . ?T1 <http://valuenet/ontop/competition> ?T1_competition . FILTER(?T1_competition = '1994 FIFA World Cup qualification') . }
Find the cities which were once a host city after 2010?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_city WHERE { ?T1 a :city . ?T2 a :hosting_city . ?T2 :ref-host_city ?T1 . ?T1 :city ?T1_city . ?T2 :year ?T2_year . FILTER(?T2_year > 2010) . }",SELECT ?T1_city WHERE { ?T1 a <http://valuenet/ontop/city> . ?T2 a <http://valuenet/ontop/hosting_city> . ?T2 <http://valuenet/ontop/ref-host_city> ?T1 . ?T1 <http://valuenet/ontop/city> ?T1_city . ?T2 <http://valuenet/ontop/year> ?T2_year . FILTER(?T2_year > 2010) . }
Which cities served as a host city after 2010?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_city WHERE { ?T1 a :city . ?T2 a :hosting_city . ?T2 :ref-host_city ?T1 . ?T1 :city ?T1_city . ?T2 :year ?T2_year . FILTER(?T2_year > 2010) . }",SELECT ?T1_city WHERE { ?T1 a <http://valuenet/ontop/city> . ?T2 a <http://valuenet/ontop/hosting_city> . ?T2 <http://valuenet/ontop/ref-host_city> ?T1 . ?T1 <http://valuenet/ontop/city> ?T1_city . ?T2 <http://valuenet/ontop/year> ?T2_year . FILTER(?T2_year > 2010) . }
Which city has hosted the most events?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_city (count( *) as ?aggregation_all) WHERE { ?T1 a :city . ?T2 a :hosting_city . ?T2 :ref-host_city ?T1 . ?T1 :city ?T1_city . } GROUP BY ?T1_city ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_city (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/city> . ?T2 a <http://valuenet/ontop/hosting_city> . ?T2 <http://valuenet/ontop/ref-host_city> ?T1 . ?T1 <http://valuenet/ontop/city> ?T1_city . } GROUP BY ?T1_city ORDER BY DESC (?aggregation_all) LIMIT 1
Find the city that hosted the most events.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_city (count( *) as ?aggregation_all) WHERE { ?T1 a :city . ?T2 a :hosting_city . ?T2 :ref-host_city ?T1 . ?T1 :city ?T1_city . } GROUP BY ?T1_city ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_city (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/city> . ?T2 a <http://valuenet/ontop/hosting_city> . ?T2 <http://valuenet/ontop/ref-host_city> ?T1 . ?T1 <http://valuenet/ontop/city> ?T1_city . } GROUP BY ?T1_city ORDER BY DESC (?aggregation_all) LIMIT 1
What is the venue of the competition '1994 FIFA World Cup qualification' hosted by 'Nanjing ( Jiangsu )'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_venue WHERE { ?T1 a :match . ?T13 a :hosting_city . ?T13 :ref-match ?T1 . ?T1 :venue ?T1_venue . ?T2 :city ?T2_city . ?T1 :competition ?T1_competition . ?T2 a :city . ?T13 :ref-host_city ?T2 . ?T1 :venue ?T1_venue . ?T2 :city ?T2_city . ?T1 :competition ?T1_competition . FILTER(?T2_city = 'Nanjing ( Jiangsu )' && ?T1_competition = '1994 FIFA World Cup qualification') . }",SELECT ?T1_venue WHERE { ?T1 a <http://valuenet/ontop/match> . ?T13 a <http://valuenet/ontop/hosting_city> . ?T13 <http://valuenet/ontop/ref-match> ?T1 . ?T1 <http://valuenet/ontop/venue> ?T1_venue . ?T2 <http://valuenet/ontop/city> ?T2_city . ?T1 <http://valuenet/ontop/competition> ?T1_competition . ?T2 a <http://valuenet/ontop/city> . ?T13 <http://valuenet/ontop/ref-host_city> ?T2 . ?T1 <http://valuenet/ontop/venue> ?T1_venue . ?T2 <http://valuenet/ontop/city> ?T2_city . ?T1 <http://valuenet/ontop/competition> ?T1_competition . FILTER(?T2_city = 'Nanjing ( Jiangsu )' && ?T1_competition = '1994 FIFA World Cup qualification') . }
Find the venue of the competition '1994 FIFA World Cup qualification' which was hosted by 'Nanjing ( Jiangsu )'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_venue WHERE { ?T1 a :match . ?T13 a :hosting_city . ?T13 :ref-match ?T1 . ?T1 :venue ?T1_venue . ?T2 :city ?T2_city . ?T1 :competition ?T1_competition . ?T2 a :city . ?T13 :ref-host_city ?T2 . ?T1 :venue ?T1_venue . ?T2 :city ?T2_city . ?T1 :competition ?T1_competition . FILTER(?T2_city = 'Nanjing ( Jiangsu )' && ?T1_competition = '1994 FIFA World Cup qualification') . }",SELECT ?T1_venue WHERE { ?T1 a <http://valuenet/ontop/match> . ?T13 a <http://valuenet/ontop/hosting_city> . ?T13 <http://valuenet/ontop/ref-match> ?T1 . ?T1 <http://valuenet/ontop/venue> ?T1_venue . ?T2 <http://valuenet/ontop/city> ?T2_city . ?T1 <http://valuenet/ontop/competition> ?T1_competition . ?T2 a <http://valuenet/ontop/city> . ?T13 <http://valuenet/ontop/ref-host_city> ?T2 . ?T1 <http://valuenet/ontop/venue> ?T1_venue . ?T2 <http://valuenet/ontop/city> ?T2_city . ?T1 <http://valuenet/ontop/competition> ?T1_competition . FILTER(?T2_city = 'Nanjing ( Jiangsu )' && ?T1_competition = '1994 FIFA World Cup qualification') . }
