nl_question,sparql_partial_uri,sparql_complete_uri
How many elections are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :election . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/election> . }
List the votes of elections in descending order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_votes WHERE { ?T1 a :election . ?T1 :votes ?T1_votes . ?T1 :votes ?T1_votes . } ORDER BY DESC (?T1_votes)",SELECT ?T1_votes WHERE { ?T1 a <http://valuenet/ontop/election> . ?T1 <http://valuenet/ontop/votes> ?T1_votes . ?T1 <http://valuenet/ontop/votes> ?T1_votes . } ORDER BY DESC (?T1_votes)
List the dates and vote percents of elections.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date ?T1_vote_percent WHERE { ?T1 a :election . ?T1 :date ?T1_date . ?T1 :vote_percent ?T1_vote_percent . }",SELECT ?T1_date ?T1_vote_percent WHERE { ?T1 a <http://valuenet/ontop/election> . ?T1 <http://valuenet/ontop/date> ?T1_date . ?T1 <http://valuenet/ontop/vote_percent> ?T1_vote_percent . }
What are the minimum and maximum vote percents of elections?,"PREFIX : <http://valuenet/ontop/>
SELECT (min( ?T1_vote_percent) as ?aggregation_T1_vote_percent_121 ) (max( ?T1_vote_percent) as ?aggregation_T1_vote_percent_106 ) WHERE { ?T1 a :election . ?T1 :vote_percent ?T1_vote_percent . ?T1 :vote_percent ?T1_vote_percent . }",SELECT (min( ?T1_vote_percent) as ?aggregation_T1_vote_percent_121 ) (max( ?T1_vote_percent) as ?aggregation_T1_vote_percent_106 ) WHERE { ?T1 a <http://valuenet/ontop/election> . ?T1 <http://valuenet/ontop/vote_percent> ?T1_vote_percent . ?T1 <http://valuenet/ontop/vote_percent> ?T1_vote_percent . }
What are the names and parties of representatives?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_party WHERE { ?T1 a :representative . ?T1 :name ?T1_name . ?T1 :party ?T1_party . }",SELECT ?T1_name ?T1_party WHERE { ?T1 a <http://valuenet/ontop/representative> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/party> ?T1_party . }
What are the names of representatives whose party is not 'Republican'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :representative . ?T1 :name ?T1_name . ?T1 :party ?T1_party . FILTER(?T1_party != 'Republican') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/representative> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/party> ?T1_party . FILTER(?T1_party != 'Republican') . }
What are the life spans of representatives from New York state or Indiana state?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_lifespan WHERE { ?T1 a :representative . ?T1 :lifespan ?T1_lifespan . ?T1 :state ?T1_state . ?T1 :state ?T1_state . FILTER(?T1_state = 'New York' || ?T1_state = 'Indiana') . }",SELECT ?T1_lifespan WHERE { ?T1 a <http://valuenet/ontop/representative> . ?T1 <http://valuenet/ontop/lifespan> ?T1_lifespan . ?T1 <http://valuenet/ontop/state> ?T1_state . ?T1 <http://valuenet/ontop/state> ?T1_state . FILTER(?T1_state = 'New York' || ?T1_state = 'Indiana') . }
What are the names of representatives and the dates of elections they participated in.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T2_date WHERE { ?T1 a :representative . ?T2 a :election . ?T2 :ref-representative ?T1 . ?T1 :name ?T1_name . ?T2 :date ?T2_date . }",SELECT ?T1_name ?T2_date WHERE { ?T1 a <http://valuenet/ontop/representative> . ?T2 a <http://valuenet/ontop/election> . ?T2 <http://valuenet/ontop/ref-representative> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/date> ?T2_date . }
What are the names of representatives with more than 10000 votes in election?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :representative . ?T2 a :election . ?T2 :ref-representative ?T1 . ?T1 :name ?T1_name . ?T2 :votes ?T2_votes . FILTER(?T2_votes > 10000) . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/representative> . ?T2 a <http://valuenet/ontop/election> . ?T2 <http://valuenet/ontop/ref-representative> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/votes> ?T2_votes . FILTER(?T2_votes > 10000) . }
What are the names of representatives in descending order of votes?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :representative . ?T2 a :election . ?T2 :ref-representative ?T1 . ?T1 :name ?T1_name . ?T2 :votes ?T2_votes . } ORDER BY DESC (?T2_votes)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/representative> . ?T2 a <http://valuenet/ontop/election> . ?T2 <http://valuenet/ontop/ref-representative> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/votes> ?T2_votes . } ORDER BY DESC (?T2_votes)
What is the party of the representative that has the smallest number of votes.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_party WHERE { ?T1 a :representative . ?T2 a :election . ?T2 :ref-representative ?T1 . ?T1 :party ?T1_party . ?T2 :votes ?T2_votes . } ORDER BY ASC (?T2_votes) LIMIT 1",SELECT ?T1_party WHERE { ?T1 a <http://valuenet/ontop/representative> . ?T2 a <http://valuenet/ontop/election> . ?T2 <http://valuenet/ontop/ref-representative> ?T1 . ?T1 <http://valuenet/ontop/party> ?T1_party . ?T2 <http://valuenet/ontop/votes> ?T2_votes . } ORDER BY ASC (?T2_votes) LIMIT 1
What are the lifespans of representatives in descending order of vote percent?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_lifespan WHERE { ?T1 a :representative . ?T2 a :election . ?T2 :ref-representative ?T1 . ?T1 :lifespan ?T1_lifespan . ?T2 :vote_percent ?T2_vote_percent . } ORDER BY DESC (?T2_vote_percent)",SELECT ?T1_lifespan WHERE { ?T1 a <http://valuenet/ontop/representative> . ?T2 a <http://valuenet/ontop/election> . ?T2 <http://valuenet/ontop/ref-representative> ?T1 . ?T1 <http://valuenet/ontop/lifespan> ?T1_lifespan . ?T2 <http://valuenet/ontop/vote_percent> ?T2_vote_percent . } ORDER BY DESC (?T2_vote_percent)
What is the average number of votes of representatives from party 'Republican'?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_votes) as ?aggregation_T1_votes_82 ) WHERE { ?T1 a :election . ?T2 a :representative . ?T1 :ref-representative ?T2 . ?T1 :votes ?T1_votes . ?T2 :party ?T2_party . FILTER(?T2_party = 'Republican') . }",SELECT (avg( ?T1_votes) as ?aggregation_T1_votes_82 ) WHERE { ?T1 a <http://valuenet/ontop/election> . ?T2 a <http://valuenet/ontop/representative> . ?T1 <http://valuenet/ontop/ref-representative> ?T2 . ?T1 <http://valuenet/ontop/votes> ?T1_votes . ?T2 <http://valuenet/ontop/party> ?T2_party . FILTER(?T2_party = 'Republican') . }
What are the different parties of representative? Show the party name and the number of representatives in each party.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_party (count( *) as ?aggregation_all) WHERE { ?T1 a :representative . ?T1 :party ?T1_party . } GROUP BY ?T1_party",SELECT ?T1_party (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/representative> . ?T1 <http://valuenet/ontop/party> ?T1_party . } GROUP BY ?T1_party
What parties have at least three representatives?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_party WHERE { ?T1 a :representative . ?T1 :party ?T1_party . } GROUP BY ?T1_party HAVING(count( *) >= 3)",SELECT ?T1_party WHERE { ?T1 a <http://valuenet/ontop/representative> . ?T1 <http://valuenet/ontop/party> ?T1_party . } GROUP BY ?T1_party HAVING(count( *) >= 3)
