nl_question,sparql_partial_uri,sparql_complete_uri
How many gas companies are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :company . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/company> . }
What is the total number of companies?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :company . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/company> . }
List the company name and rank for all companies in the decreasing order of their sales.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_company ?T1_rank WHERE { ?T1 a :company . ?T1 :company ?T1_company . ?T1 :rank ?T1_rank . ?T1 :sales_billion ?T1_sales_billion . } ORDER BY DESC (?T1_sales_billion)",SELECT ?T1_company ?T1_rank WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/company> ?T1_company . ?T1 <http://valuenet/ontop/rank> ?T1_rank . ?T1 <http://valuenet/ontop/sales_billion> ?T1_sales_billion . } ORDER BY DESC (?T1_sales_billion)
What is the name and rank of every company ordered by descending number of sales?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_company ?T1_rank WHERE { ?T1 a :company . ?T1 :company ?T1_company . ?T1 :rank ?T1_rank . ?T1 :sales_billion ?T1_sales_billion . } ORDER BY DESC (?T1_sales_billion)",SELECT ?T1_company ?T1_rank WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/company> ?T1_company . ?T1 <http://valuenet/ontop/rank> ?T1_rank . ?T1 <http://valuenet/ontop/sales_billion> ?T1_sales_billion . } ORDER BY DESC (?T1_sales_billion)
Show the company name and the main industry for all companies whose headquarters are not from USA.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_company ?T1_main_industry WHERE { ?T1 a :company . ?T1 :company ?T1_company . ?T1 :main_industry ?T1_main_industry . ?T1 :headquarters ?T1_headquarters . FILTER(?T1_headquarters != 'USA') . }",SELECT ?T1_company ?T1_main_industry WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/company> ?T1_company . ?T1 <http://valuenet/ontop/main_industry> ?T1_main_industry . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . FILTER(?T1_headquarters != 'USA') . }
What are the companies and main industries of all companies that are not headquartered in the United States?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_company ?T1_main_industry WHERE { ?T1 a :company . ?T1 :company ?T1_company . ?T1 :main_industry ?T1_main_industry . ?T1 :headquarters ?T1_headquarters . FILTER(?T1_headquarters != 'USA') . }",SELECT ?T1_company ?T1_main_industry WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/company> ?T1_company . ?T1 <http://valuenet/ontop/main_industry> ?T1_main_industry . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . FILTER(?T1_headquarters != 'USA') . }
Show all company names and headquarters in the descending order of market value.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_company ?T1_headquarters WHERE { ?T1 a :company . ?T1 :company ?T1_company . ?T1 :headquarters ?T1_headquarters . ?T1 :market_value ?T1_market_value . } ORDER BY DESC (?T1_market_value)",SELECT ?T1_company ?T1_headquarters WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/company> ?T1_company . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . ?T1 <http://valuenet/ontop/market_value> ?T1_market_value . } ORDER BY DESC (?T1_market_value)
What are the names and headquarters of all companies ordered by descending market value?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_company ?T1_headquarters WHERE { ?T1 a :company . ?T1 :company ?T1_company . ?T1 :headquarters ?T1_headquarters . ?T1 :market_value ?T1_market_value . } ORDER BY DESC (?T1_market_value)",SELECT ?T1_company ?T1_headquarters WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/company> ?T1_company . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . ?T1 <http://valuenet/ontop/market_value> ?T1_market_value . } ORDER BY DESC (?T1_market_value)
"Show minimum, maximum, and average market value for all companies.","PREFIX : <http://valuenet/ontop/>
SELECT (min( ?T1_market_value) as ?aggregation_T1_market_value_121 ) (max( ?T1_market_value) as ?aggregation_T1_market_value_198 ) (avg( ?T1_market_value) as ?aggregation_T1_market_value_155 ) WHERE { ?T1 a :company . ?T1 :market_value ?T1_market_value . ?T1 :market_value ?T1_market_value . ?T1 :market_value ?T1_market_value . }",SELECT (min( ?T1_market_value) as ?aggregation_T1_market_value_121 ) (max( ?T1_market_value) as ?aggregation_T1_market_value_198 ) (avg( ?T1_market_value) as ?aggregation_T1_market_value_155 ) WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/market_value> ?T1_market_value . ?T1 <http://valuenet/ontop/market_value> ?T1_market_value . ?T1 <http://valuenet/ontop/market_value> ?T1_market_value . }
"What is the minimum, maximum, and average market value for every company?","PREFIX : <http://valuenet/ontop/>
SELECT (min( ?T1_market_value) as ?aggregation_T1_market_value_172 ) (max( ?T1_market_value) as ?aggregation_T1_market_value_46 ) (avg( ?T1_market_value) as ?aggregation_T1_market_value_200 ) WHERE { ?T1 a :company . ?T1 :market_value ?T1_market_value . ?T1 :market_value ?T1_market_value . ?T1 :market_value ?T1_market_value . }",SELECT (min( ?T1_market_value) as ?aggregation_T1_market_value_172 ) (max( ?T1_market_value) as ?aggregation_T1_market_value_46 ) (avg( ?T1_market_value) as ?aggregation_T1_market_value_200 ) WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/market_value> ?T1_market_value . ?T1 <http://valuenet/ontop/market_value> ?T1_market_value . ?T1 <http://valuenet/ontop/market_value> ?T1_market_value . }
