nl_question,sparql_partial_uri,sparql_complete_uri
How many book clubs are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :book_club . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/book_club> . }
Count the number of book clubs.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :book_club . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/book_club> . }
"show the titles, and authors or editors for all books made after the year 1989.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_book_title ?T1_author_or_editor WHERE { ?T1 a :book_club . ?T1 :book_title ?T1_book_title . ?T1 :author_or_editor ?T1_author_or_editor . ?T1 :year ?T1_year . FILTER(?T1_year > 1989) . }",SELECT ?T1_book_title ?T1_author_or_editor WHERE { ?T1 a <http://valuenet/ontop/book_club> . ?T1 <http://valuenet/ontop/book_title> ?T1_book_title . ?T1 <http://valuenet/ontop/author_or_editor> ?T1_author_or_editor . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year > 1989) . }
What are the titles and authors or editors that correspond to books made after 1989?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_book_title ?T1_author_or_editor WHERE { ?T1 a :book_club . ?T1 :book_title ?T1_book_title . ?T1 :author_or_editor ?T1_author_or_editor . ?T1 :year ?T1_year . FILTER(?T1_year > 1989) . }",SELECT ?T1_book_title ?T1_author_or_editor WHERE { ?T1 a <http://valuenet/ontop/book_club> . ?T1 <http://valuenet/ontop/book_title> ?T1_book_title . ?T1 <http://valuenet/ontop/author_or_editor> ?T1_author_or_editor . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year > 1989) . }
Show all distinct publishers for books.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_publisher WHERE { ?T1 a :book_club . ?T1 :publisher ?T1_publisher . }",SELECT DISTINCT ?T1_publisher WHERE { ?T1 a <http://valuenet/ontop/book_club> . ?T1 <http://valuenet/ontop/publisher> ?T1_publisher . }
What are all the different book publishers?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_publisher WHERE { ?T1 a :book_club . ?T1 :publisher ?T1_publisher . }",SELECT DISTINCT ?T1_publisher WHERE { ?T1 a <http://valuenet/ontop/book_club> . ?T1 <http://valuenet/ontop/publisher> ?T1_publisher . }
"Show the years, book titles, and publishers for all books, in descending order by year.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_year ?T1_book_title ?T1_publisher WHERE { ?T1 a :book_club . ?T1 :year ?T1_year . ?T1 :book_title ?T1_book_title . ?T1 :publisher ?T1_publisher . ?T1 :year ?T1_year . } ORDER BY DESC (?T1_year)",SELECT ?T1_year ?T1_book_title ?T1_publisher WHERE { ?T1 a <http://valuenet/ontop/book_club> . ?T1 <http://valuenet/ontop/year> ?T1_year . ?T1 <http://valuenet/ontop/book_title> ?T1_book_title . ?T1 <http://valuenet/ontop/publisher> ?T1_publisher . ?T1 <http://valuenet/ontop/year> ?T1_year . } ORDER BY DESC (?T1_year)
"What are the years, titles, and publishers for all books, ordered by year descending?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_year ?T1_book_title ?T1_publisher WHERE { ?T1 a :book_club . ?T1 :year ?T1_year . ?T1 :book_title ?T1_book_title . ?T1 :publisher ?T1_publisher . ?T1 :year ?T1_year . } ORDER BY DESC (?T1_year)",SELECT ?T1_year ?T1_book_title ?T1_publisher WHERE { ?T1 a <http://valuenet/ontop/book_club> . ?T1 <http://valuenet/ontop/year> ?T1_year . ?T1 <http://valuenet/ontop/book_title> ?T1_book_title . ?T1 <http://valuenet/ontop/publisher> ?T1_publisher . ?T1 <http://valuenet/ontop/year> ?T1_year . } ORDER BY DESC (?T1_year)
Show all publishers and the number of books for each publisher.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_publisher (count( *) as ?aggregation_all) WHERE { ?T1 a :book_club . ?T1 :publisher ?T1_publisher . } GROUP BY ?T1_publisher",SELECT ?T1_publisher (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/book_club> . ?T1 <http://valuenet/ontop/publisher> ?T1_publisher . } GROUP BY ?T1_publisher
How many books are there for each publisher?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_publisher (count( *) as ?aggregation_all) WHERE { ?T1 a :book_club . ?T1 :publisher ?T1_publisher . } GROUP BY ?T1_publisher",SELECT ?T1_publisher (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/book_club> . ?T1 <http://valuenet/ontop/publisher> ?T1_publisher . } GROUP BY ?T1_publisher
What is the publisher with most number of books?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_publisher (count( *) as ?aggregation_all) WHERE { ?T1 a :book_club . ?T1 :publisher ?T1_publisher . } GROUP BY ?T1_publisher ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_publisher (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/book_club> . ?T1 <http://valuenet/ontop/publisher> ?T1_publisher . } GROUP BY ?T1_publisher ORDER BY DESC (?aggregation_all) LIMIT 1
Return the publisher that has published the most books.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_publisher (count( *) as ?aggregation_all) WHERE { ?T1 a :book_club . ?T1 :publisher ?T1_publisher . } GROUP BY ?T1_publisher ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_publisher (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/book_club> . ?T1 <http://valuenet/ontop/publisher> ?T1_publisher . } GROUP BY ?T1_publisher ORDER BY DESC (?aggregation_all) LIMIT 1
Show all book categories and the number of books in each category.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_category (count( *) as ?aggregation_all) WHERE { ?T1 a :book_club . ?T1 :category ?T1_category . } GROUP BY ?T1_category",SELECT ?T1_category (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/book_club> . ?T1 <http://valuenet/ontop/category> ?T1_category . } GROUP BY ?T1_category
How many books fall into each category?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_category (count( *) as ?aggregation_all) WHERE { ?T1 a :book_club . ?T1 :category ?T1_category . } GROUP BY ?T1_category",SELECT ?T1_category (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/book_club> . ?T1 <http://valuenet/ontop/category> ?T1_category . } GROUP BY ?T1_category
