nl_question,sparql_partial_uri,sparql_complete_uri
Find the emails of the user named 'Mary'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_email WHERE { ?T1 a :user_profiles . ?T1 :email ?T1_email . ?T1 :name ?T1_name . FILTER(?T1_name = 'Mary') . }",SELECT ?T1_email WHERE { ?T1 a <http://valuenet/ontop/user_profiles> . ?T1 <http://valuenet/ontop/email> ?T1_email . ?T1 <http://valuenet/ontop/name> ?T1_name . FILTER(?T1_name = 'Mary') . }
What is the partition id of the user named 'Iron Man'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_partitionid WHERE { ?T1 a :user_profiles . ?T1 :partitionid ?T1_partitionid . ?T1 :name ?T1_name . FILTER(?T1_name = 'Iron Man') . }",SELECT ?T1_partitionid WHERE { ?T1 a <http://valuenet/ontop/user_profiles> . ?T1 <http://valuenet/ontop/partitionid> ?T1_partitionid . ?T1 <http://valuenet/ontop/name> ?T1_name . FILTER(?T1_name = 'Iron Man') . }
How many users are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :user_profiles . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/user_profiles> . }
How many followers does each user have?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :follows . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/follows> . }
Find the number of followers for each user.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :follows . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/follows> . }
Find the number of tweets in record.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :tweets . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/tweets> . }
Find the number of users who posted some tweets.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_uid) as ?aggregation_T1_uid_131 ) WHERE { ?T1 a :tweets . ?T1 :uid ?T1_uid . }",SELECT DISTINCT (count(DISTINCT ?T1_uid) as ?aggregation_T1_uid_131 ) WHERE { ?T1 a <http://valuenet/ontop/tweets> . ?T1 <http://valuenet/ontop/uid> ?T1_uid . }
Find the name and email of the user whose name contains the word ‘Swift’.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_email WHERE { ?T1 a :user_profiles . ?T1 :name ?T1_name . ?T1 :email ?T1_email . ?T1 :name ?T1_name . FILTER(contains (?T1_name, 'Swift')) . }","SELECT ?T1_name ?T1_email WHERE { ?T1 a <http://valuenet/ontop/user_profiles> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/email> ?T1_email . ?T1 <http://valuenet/ontop/name> ?T1_name . FILTER(contains (?T1_name, 'Swift')) . }"
Find the names of users whose emails contain ‘superstar’ or ‘edu’.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :user_profiles . ?T1 :name ?T1_name . ?T1 :email ?T1_email . ?T1 :email ?T1_email . FILTER(contains (?T1_email, 'superstar') || contains (?T1_email, 'edu')) . }","SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/user_profiles> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/email> ?T1_email . ?T1 <http://valuenet/ontop/email> ?T1_email . FILTER(contains (?T1_email, 'superstar') || contains (?T1_email, 'edu')) . }"
Return the text of tweets about the topic 'intern'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_text WHERE { ?T1 a :tweets . ?T1 :text ?T1_text . ?T1 :text ?T1_text . FILTER(contains (?T1_text, 'intern')) . }","SELECT ?T1_text WHERE { ?T1 a <http://valuenet/ontop/tweets> . ?T1 <http://valuenet/ontop/text> ?T1_text . ?T1 <http://valuenet/ontop/text> ?T1_text . FILTER(contains (?T1_text, 'intern')) . }"
Find the name and email of the users who have more than 1000 followers.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_email WHERE { ?T1 a :user_profiles . ?T1 :name ?T1_name . ?T1 :email ?T1_email . ?T1 :followers ?T1_followers . FILTER(?T1_followers > 1000) . }",SELECT ?T1_name ?T1_email WHERE { ?T1 a <http://valuenet/ontop/user_profiles> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/email> ?T1_email . ?T1 <http://valuenet/ontop/followers> ?T1_followers . FILTER(?T1_followers > 1000) . }
