nl_question,sparql_partial_uri,sparql_complete_uri
How many tracks do we have?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :track . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/track> . }
Count the number of tracks.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :track . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/track> . }
Show the name and location for all tracks.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_location WHERE { ?T1 a :track . ?T1 :name ?T1_name . ?T1 :location ?T1_location . }",SELECT ?T1_name ?T1_location WHERE { ?T1 a <http://valuenet/ontop/track> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/location> ?T1_location . }
What are the names and locations of all tracks?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_location WHERE { ?T1 a :track . ?T1 :name ?T1_name . ?T1 :location ?T1_location . }",SELECT ?T1_name ?T1_location WHERE { ?T1 a <http://valuenet/ontop/track> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/location> ?T1_location . }
"Show names and seatings, ordered by seating for all tracks opened after 2000.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_seating WHERE { ?T1 a :track . ?T1 :name ?T1_name . ?T1 :seating ?T1_seating . ?T1 :seating ?T1_seating . ?T1 :year_opened ?T1_year_opened . FILTER(?T1_year_opened > 2000) . } ORDER BY ASC (?T1_seating)",SELECT ?T1_name ?T1_seating WHERE { ?T1 a <http://valuenet/ontop/track> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/seating> ?T1_seating . ?T1 <http://valuenet/ontop/seating> ?T1_seating . ?T1 <http://valuenet/ontop/year_opened> ?T1_year_opened . FILTER(?T1_year_opened > 2000) . } ORDER BY ASC (?T1_seating)
"What are the names and seatings for all tracks opened after 2000, ordered by seating?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_seating WHERE { ?T1 a :track . ?T1 :name ?T1_name . ?T1 :seating ?T1_seating . ?T1 :seating ?T1_seating . ?T1 :year_opened ?T1_year_opened . FILTER(?T1_year_opened > 2000) . } ORDER BY ASC (?T1_seating)",SELECT ?T1_name ?T1_seating WHERE { ?T1 a <http://valuenet/ontop/track> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/seating> ?T1_seating . ?T1 <http://valuenet/ontop/seating> ?T1_seating . ?T1 <http://valuenet/ontop/year_opened> ?T1_year_opened . FILTER(?T1_year_opened > 2000) . } ORDER BY ASC (?T1_seating)
"What is the name, location and seating for the most recently opened track?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_location ?T1_seating WHERE { ?T1 a :track . ?T1 :name ?T1_name . ?T1 :location ?T1_location . ?T1 :seating ?T1_seating . ?T1 :year_opened ?T1_year_opened . } ORDER BY DESC (?T1_year_opened) LIMIT 1",SELECT ?T1_name ?T1_location ?T1_seating WHERE { ?T1 a <http://valuenet/ontop/track> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/seating> ?T1_seating . ?T1 <http://valuenet/ontop/year_opened> ?T1_year_opened . } ORDER BY DESC (?T1_year_opened) LIMIT 1
"Return the name, location, and seating of the track that was opened in the most recent year.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_location ?T1_seating WHERE { ?T1 a :track . ?T1 :name ?T1_name . ?T1 :location ?T1_location . ?T1 :seating ?T1_seating . ?T1 :year_opened ?T1_year_opened . } ORDER BY DESC (?T1_year_opened) LIMIT 1",SELECT ?T1_name ?T1_location ?T1_seating WHERE { ?T1 a <http://valuenet/ontop/track> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/seating> ?T1_seating . ?T1 <http://valuenet/ontop/year_opened> ?T1_year_opened . } ORDER BY DESC (?T1_year_opened) LIMIT 1
"What is the minimum, maximum, and average seating for all tracks.","PREFIX : <http://valuenet/ontop/>
SELECT (min( ?T1_seating) as ?aggregation_T1_seating_13 ) (max( ?T1_seating) as ?aggregation_T1_seating_71 ) (avg( ?T1_seating) as ?aggregation_T1_seating_66 ) WHERE { ?T1 a :track . ?T1 :seating ?T1_seating . ?T1 :seating ?T1_seating . ?T1 :seating ?T1_seating . }",SELECT (min( ?T1_seating) as ?aggregation_T1_seating_13 ) (max( ?T1_seating) as ?aggregation_T1_seating_71 ) (avg( ?T1_seating) as ?aggregation_T1_seating_66 ) WHERE { ?T1 a <http://valuenet/ontop/track> . ?T1 <http://valuenet/ontop/seating> ?T1_seating . ?T1 <http://valuenet/ontop/seating> ?T1_seating . ?T1 <http://valuenet/ontop/seating> ?T1_seating . }
"Return the minimum, maximum, and average seating across all tracks.","PREFIX : <http://valuenet/ontop/>
SELECT (min( ?T1_seating) as ?aggregation_T1_seating_89 ) (max( ?T1_seating) as ?aggregation_T1_seating_92 ) (avg( ?T1_seating) as ?aggregation_T1_seating_152 ) WHERE { ?T1 a :track . ?T1 :seating ?T1_seating . ?T1 :seating ?T1_seating . ?T1 :seating ?T1_seating . }",SELECT (min( ?T1_seating) as ?aggregation_T1_seating_89 ) (max( ?T1_seating) as ?aggregation_T1_seating_92 ) (avg( ?T1_seating) as ?aggregation_T1_seating_152 ) WHERE { ?T1 a <http://valuenet/ontop/track> . ?T1 <http://valuenet/ontop/seating> ?T1_seating . ?T1 <http://valuenet/ontop/seating> ?T1_seating . ?T1 <http://valuenet/ontop/seating> ?T1_seating . }
