nl_question,sparql_partial_uri,sparql_complete_uri
the names of models that launched between 2002 and 2004.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_model_name WHERE { ?T1 a :chip_model . ?T1 :model_name ?T1_model_name . ?T1 :launch_year ?T1_launch_year . FILTER(?T1_launch_year >= 2002 && ?T1_launch_year <= 2004) . }",SELECT ?T1_model_name WHERE { ?T1 a <http://valuenet/ontop/chip_model> . ?T1 <http://valuenet/ontop/model_name> ?T1_model_name . ?T1 <http://valuenet/ontop/launch_year> ?T1_launch_year . FILTER(?T1_launch_year >= 2002 && ?T1_launch_year <= 2004) . }
Which model has the least amount of RAM? List the model name and the amount of RAM.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_model_name ?T1_ram_mib WHERE { ?T1 a :chip_model . ?T1 :model_name ?T1_model_name . ?T1 :ram_mib ?T1_ram_mib . ?T1 :ram_mib ?T1_ram_mib . } ORDER BY ASC (?T1_ram_mib) LIMIT 1",SELECT ?T1_model_name ?T1_ram_mib WHERE { ?T1 a <http://valuenet/ontop/chip_model> . ?T1 <http://valuenet/ontop/model_name> ?T1_model_name . ?T1 <http://valuenet/ontop/ram_mib> ?T1_ram_mib . ?T1 <http://valuenet/ontop/ram_mib> ?T1_ram_mib . } ORDER BY ASC (?T1_ram_mib) LIMIT 1
What are the chip model and screen mode of the phone with hardware model name 'LG-P760'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_chip_model ?T1_screen_mode WHERE { ?T1 a :phone . ?T1 :chip_model ?T1_chip_model . ?T1 :screen_mode ?T1_screen_mode . ?T1 :hardware_model_name ?T1_hardware_model_name . FILTER(?T1_hardware_model_name = 'LG-P760') . }",SELECT ?T1_chip_model ?T1_screen_mode WHERE { ?T1 a <http://valuenet/ontop/phone> . ?T1 <http://valuenet/ontop/chip_model> ?T1_chip_model . ?T1 <http://valuenet/ontop/screen_mode> ?T1_screen_mode . ?T1 <http://valuenet/ontop/hardware_model_name> ?T1_hardware_model_name . FILTER(?T1_hardware_model_name = 'LG-P760') . }
How many phone hardware models are produced by the company named 'Nokia Corporation'?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :phone . ?T1 :company_name ?T1_company_name . FILTER(?T1_company_name = 'Nokia Corporation') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/phone> . ?T1 <http://valuenet/ontop/company_name> ?T1_company_name . FILTER(?T1_company_name = 'Nokia Corporation') . }
What is maximum and minimum RAM size of phone produced by company named 'Nokia Corporation'?,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_ram_mib) as ?aggregation_T1_ram_mib_65 ) (min( ?T1_ram_mib) as ?aggregation_T1_ram_mib_20 ) WHERE { ?T1 a :chip_model . ?T2 a :phone . ?T2 :ref-chip_model ?T1 . ?T1 :ram_mib ?T1_ram_mib . ?T1 :ram_mib ?T1_ram_mib . ?T2 :company_name ?T2_company_name . FILTER(?T2_company_name = 'Nokia Corporation') . }",SELECT (max( ?T1_ram_mib) as ?aggregation_T1_ram_mib_65 ) (min( ?T1_ram_mib) as ?aggregation_T1_ram_mib_20 ) WHERE { ?T1 a <http://valuenet/ontop/chip_model> . ?T2 a <http://valuenet/ontop/phone> . ?T2 <http://valuenet/ontop/ref-chip_model> ?T1 . ?T1 <http://valuenet/ontop/ram_mib> ?T1_ram_mib . ?T1 <http://valuenet/ontop/ram_mib> ?T1_ram_mib . ?T2 <http://valuenet/ontop/company_name> ?T2_company_name . FILTER(?T2_company_name = 'Nokia Corporation') . }
What is the average ROM size of phones produced by the company named 'Nokia Corporation'?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_rom_mib) as ?aggregation_T1_rom_mib_130 ) WHERE { ?T1 a :chip_model . ?T2 a :phone . ?T2 :ref-chip_model ?T1 . ?T1 :rom_mib ?T1_rom_mib . ?T2 :company_name ?T2_company_name . FILTER(?T2_company_name = 'Nokia Corporation') . }",SELECT (avg( ?T1_rom_mib) as ?aggregation_T1_rom_mib_130 ) WHERE { ?T1 a <http://valuenet/ontop/chip_model> . ?T2 a <http://valuenet/ontop/phone> . ?T2 <http://valuenet/ontop/ref-chip_model> ?T1 . ?T1 <http://valuenet/ontop/rom_mib> ?T1_rom_mib . ?T2 <http://valuenet/ontop/company_name> ?T2_company_name . FILTER(?T2_company_name = 'Nokia Corporation') . }
List the hardware model name and company name for all the phones that were launched in year 2002 or have RAM size greater than 32.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_hardware_model_name ?T1_company_name WHERE { ?T1 a :phone . ?T2 a :chip_model . ?T1 :ref-chip_model ?T2 . ?T1 :hardware_model_name ?T1_hardware_model_name . ?T1 :company_name ?T1_company_name . ?T2 :launch_year ?T2_launch_year . ?T2 :ram_mib ?T2_ram_mib . FILTER(?T2_launch_year = 2002 || ?T2_ram_mib > 32) . }",SELECT ?T1_hardware_model_name ?T1_company_name WHERE { ?T1 a <http://valuenet/ontop/phone> . ?T2 a <http://valuenet/ontop/chip_model> . ?T1 <http://valuenet/ontop/ref-chip_model> ?T2 . ?T1 <http://valuenet/ontop/hardware_model_name> ?T1_hardware_model_name . ?T1 <http://valuenet/ontop/company_name> ?T1_company_name . ?T2 <http://valuenet/ontop/launch_year> ?T2_launch_year . ?T2 <http://valuenet/ontop/ram_mib> ?T2_ram_mib . FILTER(?T2_launch_year = 2002 || ?T2_ram_mib > 32) . }
Find all phones that have word 'Full' in their accreditation types. List the Hardware Model name and Company name.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_hardware_model_name ?T1_company_name WHERE { ?T1 a :phone . ?T1 :hardware_model_name ?T1_hardware_model_name . ?T1 :company_name ?T1_company_name . ?T1 :accreditation_type ?T1_accreditation_type . FILTER(contains (?T1_accreditation_type, 'Full')) . }","SELECT ?T1_hardware_model_name ?T1_company_name WHERE { ?T1 a <http://valuenet/ontop/phone> . ?T1 <http://valuenet/ontop/hardware_model_name> ?T1_hardware_model_name . ?T1 <http://valuenet/ontop/company_name> ?T1_company_name . ?T1 <http://valuenet/ontop/accreditation_type> ?T1_accreditation_type . FILTER(contains (?T1_accreditation_type, 'Full')) . }"
"Find the Char cells, Pixels and Hardware colours for the screen of the phone whose hardware model name is 'LG-P760'.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_char_cells ?T1_pixels ?T1_hardware_colours WHERE { ?T1 a :screen_mode . ?T2 a :phone . ?T2 :ref-screen_mode ?T1 . ?T1 :char_cells ?T1_char_cells . ?T1 :pixels ?T1_pixels . ?T1 :hardware_colours ?T1_hardware_colours . ?T2 :hardware_model_name ?T2_hardware_model_name . FILTER(?T2_hardware_model_name = 'LG-P760') . }",SELECT ?T1_char_cells ?T1_pixels ?T1_hardware_colours WHERE { ?T1 a <http://valuenet/ontop/screen_mode> . ?T2 a <http://valuenet/ontop/phone> . ?T2 <http://valuenet/ontop/ref-screen_mode> ?T1 . ?T1 <http://valuenet/ontop/char_cells> ?T1_char_cells . ?T1 <http://valuenet/ontop/pixels> ?T1_pixels . ?T1 <http://valuenet/ontop/hardware_colours> ?T1_hardware_colours . ?T2 <http://valuenet/ontop/hardware_model_name> ?T2_hardware_model_name . FILTER(?T2_hardware_model_name = 'LG-P760') . }
List the hardware model name and company name for the phone whose screen mode type is 'Graphics.',"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_hardware_model_name ?T1_company_name WHERE { ?T1 a :phone . ?T2 a :screen_mode . ?T1 :ref-screen_mode ?T2 . ?T1 :hardware_model_name ?T1_hardware_model_name . ?T1 :company_name ?T1_company_name . ?T2 :type ?T2_type . FILTER(?T2_type = 'Graphics') . }",SELECT ?T1_hardware_model_name ?T1_company_name WHERE { ?T1 a <http://valuenet/ontop/phone> . ?T2 a <http://valuenet/ontop/screen_mode> . ?T1 <http://valuenet/ontop/ref-screen_mode> ?T2 . ?T1 <http://valuenet/ontop/hardware_model_name> ?T1_hardware_model_name . ?T1 <http://valuenet/ontop/company_name> ?T1_company_name . ?T2 <http://valuenet/ontop/type> ?T2_type . FILTER(?T2_type = 'Graphics') . }
List the name of the company that produced more than one phone model.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_company_name WHERE { ?T1 a :phone . ?T1 :company_name ?T1_company_name . } GROUP BY ?T1_company_name HAVING(count( *) > 1)",SELECT ?T1_company_name WHERE { ?T1 a <http://valuenet/ontop/phone> . ?T1 <http://valuenet/ontop/company_name> ?T1_company_name . } GROUP BY ?T1_company_name HAVING(count( *) > 1)
