nl_question,sparql_partial_uri,sparql_complete_uri
How many railways are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :railway . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/railway> . }
List the builders of railways in ascending alphabetical order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_builder WHERE { ?T1 a :railway . ?T1 :builder ?T1_builder . ?T1 :builder ?T1_builder . } ORDER BY ASC (?T1_builder)",SELECT ?T1_builder WHERE { ?T1 a <http://valuenet/ontop/railway> . ?T1 <http://valuenet/ontop/builder> ?T1_builder . ?T1 <http://valuenet/ontop/builder> ?T1_builder . } ORDER BY ASC (?T1_builder)
List the wheels and locations of the railways.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_wheels ?T1_location WHERE { ?T1 a :railway . ?T1 :wheels ?T1_wheels . ?T1 :location ?T1_location . }",SELECT ?T1_wheels ?T1_location WHERE { ?T1 a <http://valuenet/ontop/railway> . ?T1 <http://valuenet/ontop/wheels> ?T1_wheels . ?T1 <http://valuenet/ontop/location> ?T1_location . }
What is the maximum level of managers in countries that are not 'Australia'?,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_level) as ?aggregation_T1_level_100 ) WHERE { ?T1 a :manager . ?T1 :level ?T1_level . ?T1 :country ?T1_country . FILTER(?T1_country != 'Australia ') . }",SELECT (max( ?T1_level) as ?aggregation_T1_level_100 ) WHERE { ?T1 a <http://valuenet/ontop/manager> . ?T1 <http://valuenet/ontop/level> ?T1_level . ?T1 <http://valuenet/ontop/country> ?T1_country . FILTER(?T1_country != 'Australia ') . }
What is the average age for all managers?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_12 ) WHERE { ?T1 a :manager . ?T1 :age ?T1_age . }",SELECT (avg( ?T1_age) as ?aggregation_T1_age_12 ) WHERE { ?T1 a <http://valuenet/ontop/manager> . ?T1 <http://valuenet/ontop/age> ?T1_age . }
What are the names of managers in ascending order of level?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :manager . ?T1 :name ?T1_name . ?T1 :level ?T1_level . } ORDER BY ASC (?T1_level)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/manager> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/level> ?T1_level . } ORDER BY ASC (?T1_level)
What are the names and arrival times of trains?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_arrival WHERE { ?T1 a :train . ?T1 :name ?T1_name . ?T1 :arrival ?T1_arrival . }",SELECT ?T1_name ?T1_arrival WHERE { ?T1 a <http://valuenet/ontop/train> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/arrival> ?T1_arrival . }
What is the name of the oldest manager?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :manager . ?T1 :name ?T1_name . ?T1 :age ?T1_age . } ORDER BY DESC (?T1_age) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/manager> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . } ORDER BY DESC (?T1_age) LIMIT 1
Show the names of trains and locations of railways they are in.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T2_location WHERE { ?T1 a :train . ?T2 a :railway . ?T1 :ref-railway ?T2 . ?T1 :name ?T1_name . ?T2 :location ?T2_location . }",SELECT ?T1_name ?T2_location WHERE { ?T1 a <http://valuenet/ontop/train> . ?T2 a <http://valuenet/ontop/railway> . ?T1 <http://valuenet/ontop/ref-railway> ?T2 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/location> ?T2_location . }
Show the builder of railways associated with the trains named 'Andaman Exp'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_builder WHERE { ?T1 a :railway . ?T2 a :train . ?T2 :ref-railway ?T1 . ?T1 :builder ?T1_builder . ?T2 :name ?T2_name . FILTER(?T2_name = 'Andaman Exp') . }",SELECT ?T1_builder WHERE { ?T1 a <http://valuenet/ontop/railway> . ?T2 a <http://valuenet/ontop/train> . ?T2 <http://valuenet/ontop/ref-railway> ?T1 . ?T1 <http://valuenet/ontop/builder> ?T1_builder . ?T2 <http://valuenet/ontop/name> ?T2_name . FILTER(?T2_name = 'Andaman Exp') . }
