nl_question,sparql_partial_uri,sparql_complete_uri
What is the id of the most recent order?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_order_id WHERE { ?T1 a :orders . ?T1 :order_id ?T1_order_id . ?T1 :date_order_placed ?T1_date_order_placed . } ORDER BY DESC (?T1_date_order_placed) LIMIT 1",SELECT ?T1_order_id WHERE { ?T1 a <http://valuenet/ontop/orders> . ?T1 <http://valuenet/ontop/order_id> ?T1_order_id . ?T1 <http://valuenet/ontop/date_order_placed> ?T1_date_order_placed . } ORDER BY DESC (?T1_date_order_placed) LIMIT 1
Find the id of the order made most recently.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_order_id WHERE { ?T1 a :orders . ?T1 :order_id ?T1_order_id . ?T1 :date_order_placed ?T1_date_order_placed . } ORDER BY DESC (?T1_date_order_placed) LIMIT 1",SELECT ?T1_order_id WHERE { ?T1 a <http://valuenet/ontop/orders> . ?T1 <http://valuenet/ontop/order_id> ?T1_order_id . ?T1 <http://valuenet/ontop/date_order_placed> ?T1_date_order_placed . } ORDER BY DESC (?T1_date_order_placed) LIMIT 1
what are the order id and customer id of the oldest order?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_order_id ?T1_customer_id WHERE { ?T1 a :orders . ?T1 :order_id ?T1_order_id . ?T1 :customer_id ?T1_customer_id . ?T1 :date_order_placed ?T1_date_order_placed . } ORDER BY ASC (?T1_date_order_placed) LIMIT 1",SELECT ?T1_order_id ?T1_customer_id WHERE { ?T1 a <http://valuenet/ontop/orders> . ?T1 <http://valuenet/ontop/order_id> ?T1_order_id . ?T1 <http://valuenet/ontop/customer_id> ?T1_customer_id . ?T1 <http://valuenet/ontop/date_order_placed> ?T1_date_order_placed . } ORDER BY ASC (?T1_date_order_placed) LIMIT 1
Find the order id and customer id associated with the oldest order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_order_id ?T1_customer_id WHERE { ?T1 a :orders . ?T1 :order_id ?T1_order_id . ?T1 :customer_id ?T1_customer_id . ?T1 :date_order_placed ?T1_date_order_placed . } ORDER BY ASC (?T1_date_order_placed) LIMIT 1",SELECT ?T1_order_id ?T1_customer_id WHERE { ?T1 a <http://valuenet/ontop/orders> . ?T1 <http://valuenet/ontop/order_id> ?T1_order_id . ?T1 <http://valuenet/ontop/customer_id> ?T1_customer_id . ?T1 <http://valuenet/ontop/date_order_placed> ?T1_date_order_placed . } ORDER BY ASC (?T1_date_order_placed) LIMIT 1
Find the id of the order whose shipment tracking number is '3452'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_order_id WHERE { ?T1 a :shipments . ?T1 :order_id ?T1_order_id . ?T1 :shipment_tracking_number ?T1_shipment_tracking_number . FILTER(?T1_shipment_tracking_number = 3452) . }",SELECT ?T1_order_id WHERE { ?T1 a <http://valuenet/ontop/shipments> . ?T1 <http://valuenet/ontop/order_id> ?T1_order_id . ?T1 <http://valuenet/ontop/shipment_tracking_number> ?T1_shipment_tracking_number . FILTER(?T1_shipment_tracking_number = 3452) . }
Which order's shipment tracking number is '3452'? Give me the id of the order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_order_id WHERE { ?T1 a :shipments . ?T1 :order_id ?T1_order_id . ?T1 :shipment_tracking_number ?T1_shipment_tracking_number . FILTER(?T1_shipment_tracking_number = 3452) . }",SELECT ?T1_order_id WHERE { ?T1 a <http://valuenet/ontop/shipments> . ?T1 <http://valuenet/ontop/order_id> ?T1_order_id . ?T1 <http://valuenet/ontop/shipment_tracking_number> ?T1_shipment_tracking_number . FILTER(?T1_shipment_tracking_number = 3452) . }
Find the ids of all the order items whose product id is 11.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_order_item_id WHERE { ?T1 a :order_items . ?T1 :order_item_id ?T1_order_item_id . ?T1 :product_id ?T1_product_id . FILTER(?T1_product_id = 11) . }",SELECT ?T1_order_item_id WHERE { ?T1 a <http://valuenet/ontop/order_items> . ?T1 <http://valuenet/ontop/order_item_id> ?T1_order_item_id . ?T1 <http://valuenet/ontop/product_id> ?T1_product_id . FILTER(?T1_product_id = 11) . }
Find all the order items whose product id is 11. What are the order item ids?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_order_item_id WHERE { ?T1 a :order_items . ?T1 :order_item_id ?T1_order_item_id . ?T1 :product_id ?T1_product_id . FILTER(?T1_product_id = 11) . }",SELECT ?T1_order_item_id WHERE { ?T1 a <http://valuenet/ontop/order_items> . ?T1 <http://valuenet/ontop/order_item_id> ?T1_order_item_id . ?T1 <http://valuenet/ontop/product_id> ?T1_product_id . FILTER(?T1_product_id = 11) . }
List the name of all the distinct customers who have orders with status 'Packing'.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_customer_name WHERE { ?T1 a :customers . ?T2 a :orders . ?T2 :ref-customer ?T1 . ?T1 :customer_name ?T1_customer_name . ?T2 :order_status ?T2_order_status . FILTER(?T2_order_status = 'Packing') . }",SELECT DISTINCT ?T1_customer_name WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/orders> . ?T2 <http://valuenet/ontop/ref-customer> ?T1 . ?T1 <http://valuenet/ontop/customer_name> ?T1_customer_name . ?T2 <http://valuenet/ontop/order_status> ?T2_order_status . FILTER(?T2_order_status = 'Packing') . }
Which customers have orders with status 'Packing'? Give me the customer names.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_customer_name WHERE { ?T1 a :customers . ?T2 a :orders . ?T2 :ref-customer ?T1 . ?T1 :customer_name ?T1_customer_name . ?T2 :order_status ?T2_order_status . FILTER(?T2_order_status = 'Packing') . }",SELECT DISTINCT ?T1_customer_name WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/orders> . ?T2 <http://valuenet/ontop/ref-customer> ?T1 . ?T1 <http://valuenet/ontop/customer_name> ?T1_customer_name . ?T2 <http://valuenet/ontop/order_status> ?T2_order_status . FILTER(?T2_order_status = 'Packing') . }
Find the details of all the distinct customers who have orders with status 'On Road'.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_customer_details WHERE { ?T1 a :customers . ?T2 a :orders . ?T2 :ref-customer ?T1 . ?T1 :customer_details ?T1_customer_details . ?T2 :order_status ?T2_order_status . FILTER(?T2_order_status = 'On Road') . }",SELECT DISTINCT ?T1_customer_details WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/orders> . ?T2 <http://valuenet/ontop/ref-customer> ?T1 . ?T1 <http://valuenet/ontop/customer_details> ?T1_customer_details . ?T2 <http://valuenet/ontop/order_status> ?T2_order_status . FILTER(?T2_order_status = 'On Road') . }
What are the distinct customers who have orders with status 'On Road'? Give me the customer details?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_customer_details WHERE { ?T1 a :customers . ?T2 a :orders . ?T2 :ref-customer ?T1 . ?T1 :customer_details ?T1_customer_details . ?T2 :order_status ?T2_order_status . FILTER(?T2_order_status = 'On Road') . }",SELECT DISTINCT ?T1_customer_details WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/orders> . ?T2 <http://valuenet/ontop/ref-customer> ?T1 . ?T1 <http://valuenet/ontop/customer_details> ?T1_customer_details . ?T2 <http://valuenet/ontop/order_status> ?T2_order_status . FILTER(?T2_order_status = 'On Road') . }
What is the name of the customer who has the most orders?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_name (count( *) as ?aggregation_all) WHERE { ?T1 a :customers . ?T2 a :orders . ?T2 :ref-customer ?T1 . ?T1 :customer_name ?T1_customer_name . } GROUP BY ?T1_customer_name ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_customer_name (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/orders> . ?T2 <http://valuenet/ontop/ref-customer> ?T1 . ?T1 <http://valuenet/ontop/customer_name> ?T1_customer_name . } GROUP BY ?T1_customer_name ORDER BY DESC (?aggregation_all) LIMIT 1
Which customer made the most orders? Find the customer name.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_name (count( *) as ?aggregation_all) WHERE { ?T1 a :customers . ?T2 a :orders . ?T2 :ref-customer ?T1 . ?T1 :customer_name ?T1_customer_name . } GROUP BY ?T1_customer_name ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_customer_name (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/orders> . ?T2 <http://valuenet/ontop/ref-customer> ?T1 . ?T1 <http://valuenet/ontop/customer_name> ?T1_customer_name . } GROUP BY ?T1_customer_name ORDER BY DESC (?aggregation_all) LIMIT 1
What is the customer id of the customer who has the most orders?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_id (count( *) as ?aggregation_all) WHERE { ?T1 a :customers . ?T2 a :orders . ?T2 :ref-customer ?T1 . ?T1 :customer_id ?T1_customer_id . } GROUP BY ?T1_customer_id ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_customer_id (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/orders> . ?T2 <http://valuenet/ontop/ref-customer> ?T1 . ?T1 <http://valuenet/ontop/customer_id> ?T1_customer_id . } GROUP BY ?T1_customer_id ORDER BY DESC (?aggregation_all) LIMIT 1
Find the id of the customer who made the most orders.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_id (count( *) as ?aggregation_all) WHERE { ?T1 a :customers . ?T2 a :orders . ?T2 :ref-customer ?T1 . ?T1 :customer_id ?T1_customer_id . } GROUP BY ?T1_customer_id ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_customer_id (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/orders> . ?T2 <http://valuenet/ontop/ref-customer> ?T1 . ?T1 <http://valuenet/ontop/customer_id> ?T1_customer_id . } GROUP BY ?T1_customer_id ORDER BY DESC (?aggregation_all) LIMIT 1
Give me a list of id and status of orders which belong to the customer named 'Jeramie'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_order_id ?T1_order_status WHERE { ?T1 a :orders . ?T2 a :customers . ?T1 :ref-customer ?T2 . ?T1 :order_id ?T1_order_id . ?T1 :order_status ?T1_order_status . ?T2 :customer_name ?T2_customer_name . FILTER(?T2_customer_name = 'Jeramie') . }",SELECT ?T1_order_id ?T1_order_status WHERE { ?T1 a <http://valuenet/ontop/orders> . ?T2 a <http://valuenet/ontop/customers> . ?T1 <http://valuenet/ontop/ref-customer> ?T2 . ?T1 <http://valuenet/ontop/order_id> ?T1_order_id . ?T1 <http://valuenet/ontop/order_status> ?T1_order_status . ?T2 <http://valuenet/ontop/customer_name> ?T2_customer_name . FILTER(?T2_customer_name = 'Jeramie') . }
Which orders are made by the customer named 'Jeramie'? Give me the order ids and status.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_order_id ?T1_order_status WHERE { ?T1 a :orders . ?T2 a :customers . ?T1 :ref-customer ?T2 . ?T1 :order_id ?T1_order_id . ?T1 :order_status ?T1_order_status . ?T2 :customer_name ?T2_customer_name . FILTER(?T2_customer_name = 'Jeramie') . }",SELECT ?T1_order_id ?T1_order_status WHERE { ?T1 a <http://valuenet/ontop/orders> . ?T2 a <http://valuenet/ontop/customers> . ?T1 <http://valuenet/ontop/ref-customer> ?T2 . ?T1 <http://valuenet/ontop/order_id> ?T1_order_id . ?T1 <http://valuenet/ontop/order_status> ?T1_order_status . ?T2 <http://valuenet/ontop/customer_name> ?T2_customer_name . FILTER(?T2_customer_name = 'Jeramie') . }
Find the dates of orders which belong to the customer named 'Jeramie'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_order_placed WHERE { ?T1 a :orders . ?T2 a :customers . ?T1 :ref-customer ?T2 . ?T1 :date_order_placed ?T1_date_order_placed . ?T2 :customer_name ?T2_customer_name . FILTER(?T2_customer_name = 'Jeramie') . }",SELECT ?T1_date_order_placed WHERE { ?T1 a <http://valuenet/ontop/orders> . ?T2 a <http://valuenet/ontop/customers> . ?T1 <http://valuenet/ontop/ref-customer> ?T2 . ?T1 <http://valuenet/ontop/date_order_placed> ?T1_date_order_placed . ?T2 <http://valuenet/ontop/customer_name> ?T2_customer_name . FILTER(?T2_customer_name = 'Jeramie') . }
What are the dates of the orders made by the customer named 'Jeramie'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_order_placed WHERE { ?T1 a :orders . ?T2 a :customers . ?T1 :ref-customer ?T2 . ?T1 :date_order_placed ?T1_date_order_placed . ?T2 :customer_name ?T2_customer_name . FILTER(?T2_customer_name = 'Jeramie') . }",SELECT ?T1_date_order_placed WHERE { ?T1 a <http://valuenet/ontop/orders> . ?T2 a <http://valuenet/ontop/customers> . ?T1 <http://valuenet/ontop/ref-customer> ?T2 . ?T1 <http://valuenet/ontop/date_order_placed> ?T1_date_order_placed . ?T2 <http://valuenet/ontop/customer_name> ?T2_customer_name . FILTER(?T2_customer_name = 'Jeramie') . }
Give me the names of customers who have placed orders between 2009-01-01 and 2010-01-01.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_name WHERE { ?T1 a :customers . ?T2 a :orders . ?T2 :ref-customer ?T1 . ?T1 :customer_name ?T1_customer_name . ?T2 :date_order_placed ?T2_date_order_placed . ?T2 :date_order_placed ?T2_date_order_placed . FILTER(?T2_date_order_placed >= 2009-01-01 && ?T2_date_order_placed <= 2010-01-01) . }",SELECT ?T1_customer_name WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/orders> . ?T2 <http://valuenet/ontop/ref-customer> ?T1 . ?T1 <http://valuenet/ontop/customer_name> ?T1_customer_name . ?T2 <http://valuenet/ontop/date_order_placed> ?T2_date_order_placed . ?T2 <http://valuenet/ontop/date_order_placed> ?T2_date_order_placed . FILTER(?T2_date_order_placed >= 2009-01-01 && ?T2_date_order_placed <= 2010-01-01) . }
