nl_question,sparql_partial_uri,sparql_complete_uri
Find all the distinct district names ordered by city area in descending.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_district_name ?T1_city_area WHERE { ?T1 a :district . ?T1 :district_name ?T1_district_name . ?T1 :city_area ?T1_city_area . ?T1 :city_area ?T1_city_area . } ORDER BY DESC (?T1_city_area)",SELECT DISTINCT ?T1_district_name ?T1_city_area WHERE { ?T1 a <http://valuenet/ontop/district> . ?T1 <http://valuenet/ontop/district_name> ?T1_district_name . ?T1 <http://valuenet/ontop/city_area> ?T1_city_area . ?T1 <http://valuenet/ontop/city_area> ?T1_city_area . } ORDER BY DESC (?T1_city_area)
What are the different district names in order of descending city area?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_district_name ?T1_city_area WHERE { ?T1 a :district . ?T1 :district_name ?T1_district_name . ?T1 :city_area ?T1_city_area . ?T1 :city_area ?T1_city_area . } ORDER BY DESC (?T1_city_area)",SELECT DISTINCT ?T1_district_name ?T1_city_area WHERE { ?T1 a <http://valuenet/ontop/district> . ?T1 <http://valuenet/ontop/district_name> ?T1_district_name . ?T1 <http://valuenet/ontop/city_area> ?T1_city_area . ?T1 <http://valuenet/ontop/city_area> ?T1_city_area . } ORDER BY DESC (?T1_city_area)
Find the list of page size which have more than 3 product listed,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_max_page_size WHERE { ?T1 a :product . ?T1 :max_page_size ?T1_max_page_size . } GROUP BY ?T1_max_page_size HAVING(count( *) > 3)",SELECT ?T1_max_page_size WHERE { ?T1 a <http://valuenet/ontop/product> . ?T1 <http://valuenet/ontop/max_page_size> ?T1_max_page_size . } GROUP BY ?T1_max_page_size HAVING(count( *) > 3)
What is the maximum page size for everything that has more than 3 products listed?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_max_page_size WHERE { ?T1 a :product . ?T1 :max_page_size ?T1_max_page_size . } GROUP BY ?T1_max_page_size HAVING(count( *) > 3)",SELECT ?T1_max_page_size WHERE { ?T1 a <http://valuenet/ontop/product> . ?T1 <http://valuenet/ontop/max_page_size> ?T1_max_page_size . } GROUP BY ?T1_max_page_size HAVING(count( *) > 3)
Find the name and population of district with population between 200000 and 2000000,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_district_name ?T1_city_population WHERE { ?T1 a :district . ?T1 :district_name ?T1_district_name . ?T1 :city_population ?T1_city_population . ?T1 :city_population ?T1_city_population . FILTER(?T1_city_population >= 200000 && ?T1_city_population <= 2000000) . }",SELECT ?T1_district_name ?T1_city_population WHERE { ?T1 a <http://valuenet/ontop/district> . ?T1 <http://valuenet/ontop/district_name> ?T1_district_name . ?T1 <http://valuenet/ontop/city_population> ?T1_city_population . ?T1 <http://valuenet/ontop/city_population> ?T1_city_population . FILTER(?T1_city_population >= 200000 && ?T1_city_population <= 2000000) . }
"What are the district names and city populations for all districts that between 200,000 and 2,000,000 residents?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_district_name ?T1_city_population WHERE { ?T1 a :district . ?T1 :district_name ?T1_district_name . ?T1 :city_population ?T1_city_population . ?T1 :city_population ?T1_city_population . FILTER(?T1_city_population >= 200000 && ?T1_city_population <= 2000000) . }",SELECT ?T1_district_name ?T1_city_population WHERE { ?T1 a <http://valuenet/ontop/district> . ?T1 <http://valuenet/ontop/district_name> ?T1_district_name . ?T1 <http://valuenet/ontop/city_population> ?T1_city_population . ?T1 <http://valuenet/ontop/city_population> ?T1_city_population . FILTER(?T1_city_population >= 200000 && ?T1_city_population <= 2000000) . }
Find the name all districts with city area greater than 10 or population larger than 100000,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_district_name WHERE { ?T1 a :district . ?T1 :district_name ?T1_district_name . ?T1 :city_area ?T1_city_area . ?T1 :city_population ?T1_city_population . FILTER(?T1_city_area > 10 || ?T1_city_population > 100000) . }",SELECT ?T1_district_name WHERE { ?T1 a <http://valuenet/ontop/district> . ?T1 <http://valuenet/ontop/district_name> ?T1_district_name . ?T1 <http://valuenet/ontop/city_area> ?T1_city_area . ?T1 <http://valuenet/ontop/city_population> ?T1_city_population . FILTER(?T1_city_area > 10 || ?T1_city_population > 100000) . }
What are the names of all districts with a city area greater than 10 or have more than 100000 people living there?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_district_name WHERE { ?T1 a :district . ?T1 :district_name ?T1_district_name . ?T1 :city_area ?T1_city_area . ?T1 :city_population ?T1_city_population . FILTER(?T1_city_area > 10 || ?T1_city_population > 100000) . }",SELECT ?T1_district_name WHERE { ?T1 a <http://valuenet/ontop/district> . ?T1 <http://valuenet/ontop/district_name> ?T1_district_name . ?T1 <http://valuenet/ontop/city_area> ?T1_city_area . ?T1 <http://valuenet/ontop/city_population> ?T1_city_population . FILTER(?T1_city_area > 10 || ?T1_city_population > 100000) . }
Which district has the largest population?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_district_name WHERE { ?T1 a :district . ?T1 :district_name ?T1_district_name . ?T1 :city_population ?T1_city_population . } ORDER BY DESC (?T1_city_population) LIMIT 1",SELECT ?T1_district_name WHERE { ?T1 a <http://valuenet/ontop/district> . ?T1 <http://valuenet/ontop/district_name> ?T1_district_name . ?T1 <http://valuenet/ontop/city_population> ?T1_city_population . } ORDER BY DESC (?T1_city_population) LIMIT 1
What is the name of the district with the most residents?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_district_name WHERE { ?T1 a :district . ?T1 :district_name ?T1_district_name . ?T1 :city_population ?T1_city_population . } ORDER BY DESC (?T1_city_population) LIMIT 1",SELECT ?T1_district_name WHERE { ?T1 a <http://valuenet/ontop/district> . ?T1 <http://valuenet/ontop/district_name> ?T1_district_name . ?T1 <http://valuenet/ontop/city_population> ?T1_city_population . } ORDER BY DESC (?T1_city_population) LIMIT 1
