nl_question,sparql_partial_uri,sparql_complete_uri
How many flights have a velocity larger than 200?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :flight . ?T1 :velocity ?T1_velocity . FILTER(?T1_velocity > 200) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/flight> . ?T1 <http://valuenet/ontop/velocity> ?T1_velocity . FILTER(?T1_velocity > 200) . }
"List the vehicle flight number, date and pilot of all the flights, ordered by altitude.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_vehicle_flight_number ?T1_date ?T1_pilot WHERE { ?T1 a :flight . ?T1 :vehicle_flight_number ?T1_vehicle_flight_number . ?T1 :date ?T1_date . ?T1 :pilot ?T1_pilot . ?T1 :altitude ?T1_altitude . } ORDER BY ASC (?T1_altitude)",SELECT ?T1_vehicle_flight_number ?T1_date ?T1_pilot WHERE { ?T1 a <http://valuenet/ontop/flight> . ?T1 <http://valuenet/ontop/vehicle_flight_number> ?T1_vehicle_flight_number . ?T1 <http://valuenet/ontop/date> ?T1_date . ?T1 <http://valuenet/ontop/pilot> ?T1_pilot . ?T1 <http://valuenet/ontop/altitude> ?T1_altitude . } ORDER BY ASC (?T1_altitude)
"List the id, country, city and name of the airports ordered alphabetically by the name.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id ?T1_country ?T1_city ?T1_name WHERE { ?T1 a :airport . ?T1 :id ?T1_id . ?T1 :country ?T1_country . ?T1 :city ?T1_city . ?T1 :name ?T1_name . ?T1 :name ?T1_name . } ORDER BY ASC (?T1_name)",SELECT ?T1_id ?T1_country ?T1_city ?T1_name WHERE { ?T1 a <http://valuenet/ontop/airport> . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/country> ?T1_country . ?T1 <http://valuenet/ontop/city> ?T1_city . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/name> ?T1_name . } ORDER BY ASC (?T1_name)
What is maximum group equity shareholding of the companies?,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_group_equity_shareholding) as ?aggregation_T1_group_equity_shareholding_197 ) WHERE { ?T1 a :operate_company . ?T1 :group_equity_shareholding ?T1_group_equity_shareholding . }",SELECT (max( ?T1_group_equity_shareholding) as ?aggregation_T1_group_equity_shareholding_197 ) WHERE { ?T1 a <http://valuenet/ontop/operate_company> . ?T1 <http://valuenet/ontop/group_equity_shareholding> ?T1_group_equity_shareholding . }
What is the velocity of the pilot named 'Thompson'?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_velocity) as ?aggregation_T1_velocity_9 ) WHERE { ?T1 a :flight . ?T1 :velocity ?T1_velocity . ?T1 :pilot ?T1_pilot . FILTER(?T1_pilot = 'Thompson') . }",SELECT (avg( ?T1_velocity) as ?aggregation_T1_velocity_9 ) WHERE { ?T1 a <http://valuenet/ontop/flight> . ?T1 <http://valuenet/ontop/velocity> ?T1_velocity . ?T1 <http://valuenet/ontop/pilot> ?T1_pilot . FILTER(?T1_pilot = 'Thompson') . }
What are the names and types of the companies that have ever operated a flight?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_type WHERE { ?T1 a :operate_company . ?T1 :name ?T1_name . ?T1 :type ?T1_type . }",SELECT ?T1_name ?T1_type WHERE { ?T1 a <http://valuenet/ontop/operate_company> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/type> ?T1_type . }
What are the names of the airports which are not in the country 'Iceland'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :airport . ?T1 :name ?T1_name . ?T1 :country ?T1_country . FILTER(?T1_country != 'Iceland') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/airport> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/country> ?T1_country . FILTER(?T1_country != 'Iceland') . }
What are the distinct types of the companies that have operated any flights with velocity less than 200?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_type WHERE { ?T1 a :operate_company . ?T2 a :flight . ?T2 :ref-company ?T1 . ?T1 :type ?T1_type . ?T2 :velocity ?T2_velocity . FILTER(?T2_velocity < 200) . }",SELECT DISTINCT ?T1_type WHERE { ?T1 a <http://valuenet/ontop/operate_company> . ?T2 a <http://valuenet/ontop/flight> . ?T2 <http://valuenet/ontop/ref-company> ?T1 . ?T1 <http://valuenet/ontop/type> ?T1_type . ?T2 <http://valuenet/ontop/velocity> ?T2_velocity . FILTER(?T2_velocity < 200) . }
What are the ids and names of the companies that operated more than one flight?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id ?T1_name WHERE { ?T1 a :operate_company . ?T2 a :flight . ?T2 :ref-company ?T1 . ?T1 :id ?T1_id . ?T1 :name ?T1_name . } GROUP BY ?T1_id ?T1_name HAVING(count( *) > 1)",SELECT ?T1_id ?T1_name WHERE { ?T1 a <http://valuenet/ontop/operate_company> . ?T2 a <http://valuenet/ontop/flight> . ?T2 <http://valuenet/ontop/ref-company> ?T1 . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/name> ?T1_name . } GROUP BY ?T1_id ?T1_name HAVING(count( *) > 1)
"What is the id, name and IATA code of the airport that had most number of flights?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id (count( *) as ?aggregation_all) ?T1_name ?T1_iata WHERE { ?T1 a :airport . ?T2 a :flight . ?T2 :ref-airport ?T1 . ?T1 :id ?T1_id . ?T1 :name ?T1_name . ?T1 :iata ?T1_iata . } GROUP BY ?T1_id ?T1_name ?T1_iata ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_id (count( *) as ?aggregation_all) ?T1_name ?T1_iata WHERE { ?T1 a <http://valuenet/ontop/airport> . ?T2 a <http://valuenet/ontop/flight> . ?T2 <http://valuenet/ontop/ref-airport> ?T1 . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/iata> ?T1_iata . } GROUP BY ?T1_id ?T1_name ?T1_iata ORDER BY DESC (?aggregation_all) LIMIT 1
