nl_question,sparql_partial_uri,sparql_complete_uri
How many assets does each maintenance contract contain? List the number and the contract id.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) ?T2_maintenance_contract_id WHERE { ?T1 a :assets . ?T2 a :maintenance_contracts . ?T1 :ref-maintenance_contract ?T2 . ?T2 :maintenance_contract_id ?T2_maintenance_contract_id . } GROUP BY ?T2_maintenance_contract_id",SELECT (count( *) as ?aggregation_all) ?T2_maintenance_contract_id WHERE { ?T1 a <http://valuenet/ontop/assets> . ?T2 a <http://valuenet/ontop/maintenance_contracts> . ?T1 <http://valuenet/ontop/ref-maintenance_contract> ?T2 . ?T2 <http://valuenet/ontop/maintenance_contract_id> ?T2_maintenance_contract_id . } GROUP BY ?T2_maintenance_contract_id
How many assets does each third party company supply? List the count and the company id.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) ?T2_company_id WHERE { ?T13 a :maintenance_contracts . ?T2 a :third_party_companies . ?T13 :ref-maintenance_contract_company ?T2 . ?T2 :company_id ?T2_company_id . } GROUP BY ?T2_company_id",SELECT (count( *) as ?aggregation_all) ?T2_company_id WHERE { ?T13 a <http://valuenet/ontop/maintenance_contracts> . ?T2 a <http://valuenet/ontop/third_party_companies> . ?T13 <http://valuenet/ontop/ref-maintenance_contract_company> ?T2 . ?T2 <http://valuenet/ontop/company_id> ?T2_company_id . } GROUP BY ?T2_company_id
What is the name and id of the staff who recorded the fault log but has not contacted any visiting engineers?,"PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1?col2 WHERE { { SELECT (?T1_staff_name as ?col1) (?T1_staff_id as ?col2) WHERE { ?T1 a :staff . ?T1 :staff_name ?T1_staff_name . ?T1 :staff_id ?T1_staff_id . }} MINUS {SELECT (?T2_staff_name as ?col1) (?T2_staff_id as ?col2) WHERE { ?T2 a :staff . ?T2 :staff_name ?T2_staff_name . ?T2 :staff_id ?T2_staff_id . } } }",SELECT distinct?col1?col2 WHERE { { SELECT (?T1_staff_name as ?col1) (?T1_staff_id as ?col2) WHERE { ?T1 a <http://valuenet/ontop/staff> . ?T1 <http://valuenet/ontop/staff_name> ?T1_staff_name . ?T1 <http://valuenet/ontop/staff_id> ?T1_staff_id . }} MINUS {SELECT (?T2_staff_name as ?col1) (?T2_staff_id as ?col2) WHERE { ?T2 a <http://valuenet/ontop/staff> . ?T2 <http://valuenet/ontop/staff_name> ?T2_staff_name . ?T2 <http://valuenet/ontop/staff_id> ?T2_staff_id . } } }
"Which engineer has visited the most times? Show the engineer id, first name and last name.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_engineer_id (count( *) as ?aggregation_all) ?T1_first_name ?T1_last_name WHERE { ?T1 a :maintenance_engineers . ?T2 a :engineer_visits . ?T2 :ref-engineer ?T1 . ?T1 :engineer_id ?T1_engineer_id . ?T1 :first_name ?T1_first_name . ?T1 :last_name ?T1_last_name . } GROUP BY ?T1_engineer_id ?T1_first_name ?T1_last_name ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_engineer_id (count( *) as ?aggregation_all) ?T1_first_name ?T1_last_name WHERE { ?T1 a <http://valuenet/ontop/maintenance_engineers> . ?T2 a <http://valuenet/ontop/engineer_visits> . ?T2 <http://valuenet/ontop/ref-engineer> ?T1 . ?T1 <http://valuenet/ontop/engineer_id> ?T1_engineer_id . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . } GROUP BY ?T1_engineer_id ?T1_first_name ?T1_last_name ORDER BY DESC (?aggregation_all) LIMIT 1
Which parts have more than 2 faults? Show the part name and id.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_part_name ?T1_part_id WHERE { ?T1 a :parts . ?T2 a :part_faults . ?T2 :ref-part ?T1 . ?T1 :part_name ?T1_part_name . ?T1 :part_id ?T1_part_id . } GROUP BY ?T1_part_name ?T1_part_id HAVING(count( *) > 2)",SELECT ?T1_part_name ?T1_part_id WHERE { ?T1 a <http://valuenet/ontop/parts> . ?T2 a <http://valuenet/ontop/part_faults> . ?T2 <http://valuenet/ontop/ref-part> ?T1 . ?T1 <http://valuenet/ontop/part_name> ?T1_part_name . ?T1 <http://valuenet/ontop/part_id> ?T1_part_id . } GROUP BY ?T1_part_name ?T1_part_id HAVING(count( *) > 2)
"List all every engineer's first name, last name, details and coresponding skill description.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_first_name ?T1_last_name ?T1_other_details ?T2_skill_description WHERE { ?T1 a :maintenance_engineers . ?T13 a :engineer_skills . ?T13 :ref-engineer ?T1 . ?T1 :first_name ?T1_first_name . ?T1 :last_name ?T1_last_name . ?T1 :other_details ?T1_other_details . ?T2 :skill_description ?T2_skill_description . ?T2 a :skills . ?T13 :ref-skill ?T2 . ?T1 :first_name ?T1_first_name . ?T1 :last_name ?T1_last_name . ?T1 :other_details ?T1_other_details . ?T2 :skill_description ?T2_skill_description . }",SELECT ?T1_first_name ?T1_last_name ?T1_other_details ?T2_skill_description WHERE { ?T1 a <http://valuenet/ontop/maintenance_engineers> . ?T13 a <http://valuenet/ontop/engineer_skills> . ?T13 <http://valuenet/ontop/ref-engineer> ?T1 . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . ?T1 <http://valuenet/ontop/other_details> ?T1_other_details . ?T2 <http://valuenet/ontop/skill_description> ?T2_skill_description . ?T2 a <http://valuenet/ontop/skills> . ?T13 <http://valuenet/ontop/ref-skill> ?T2 . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . ?T1 <http://valuenet/ontop/other_details> ?T1_other_details . ?T2 <http://valuenet/ontop/skill_description> ?T2_skill_description . }
"For all the faults of different parts, what are all the decriptions of the skills required to fix them? List the name of the faults and the skill description.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_fault_short_name ?T2_skill_description WHERE { ?T1 a :part_faults . ?T13 a :skills_required_to_fix . ?T13 :ref-part_fault ?T1 . ?T1 :fault_short_name ?T1_fault_short_name . ?T2 :skill_description ?T2_skill_description . ?T2 a :skills . ?T13 :ref-skill ?T2 . ?T1 :fault_short_name ?T1_fault_short_name . ?T2 :skill_description ?T2_skill_description . }",SELECT ?T1_fault_short_name ?T2_skill_description WHERE { ?T1 a <http://valuenet/ontop/part_faults> . ?T13 a <http://valuenet/ontop/skills_required_to_fix> . ?T13 <http://valuenet/ontop/ref-part_fault> ?T1 . ?T1 <http://valuenet/ontop/fault_short_name> ?T1_fault_short_name . ?T2 <http://valuenet/ontop/skill_description> ?T2_skill_description . ?T2 a <http://valuenet/ontop/skills> . ?T13 <http://valuenet/ontop/ref-skill> ?T2 . ?T1 <http://valuenet/ontop/fault_short_name> ?T1_fault_short_name . ?T2 <http://valuenet/ontop/skill_description> ?T2_skill_description . }
How many assets can each parts be used in? List the part name and the number.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_part_name (count( *) as ?aggregation_all) WHERE { ?T1 a :parts . ?T2 a :asset_parts . ?T2 :ref-part ?T1 . ?T1 :part_name ?T1_part_name . } GROUP BY ?T1_part_name",SELECT ?T1_part_name (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/parts> . ?T2 a <http://valuenet/ontop/asset_parts> . ?T2 <http://valuenet/ontop/ref-part> ?T1 . ?T1 <http://valuenet/ontop/part_name> ?T1_part_name . } GROUP BY ?T1_part_name
What are all the fault descriptions and the fault status of all the faults recoreded in the logs?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_fault_description ?T2_fault_status WHERE { ?T1 a :fault_log . ?T2 a :fault_log_parts . ?T2 :ref-fault_log_entry ?T1 . ?T1 :fault_description ?T1_fault_description . ?T2 :fault_status ?T2_fault_status . }",SELECT ?T1_fault_description ?T2_fault_status WHERE { ?T1 a <http://valuenet/ontop/fault_log> . ?T2 a <http://valuenet/ontop/fault_log_parts> . ?T2 <http://valuenet/ontop/ref-fault_log_entry> ?T1 . ?T1 <http://valuenet/ontop/fault_description> ?T1_fault_description . ?T2 <http://valuenet/ontop/fault_status> ?T2_fault_status . }
How many engineer visits are required at most for a single fault log? List the number and the log entry id.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) ?T2_fault_log_entry_id WHERE { ?T1 a :engineer_visits . ?T2 a :fault_log . ?T1 :ref-fault_log_entry ?T2 . ?T2 :fault_log_entry_id ?T2_fault_log_entry_id . } GROUP BY ?T2_fault_log_entry_id ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT (count( *) as ?aggregation_all) ?T2_fault_log_entry_id WHERE { ?T1 a <http://valuenet/ontop/engineer_visits> . ?T2 a <http://valuenet/ontop/fault_log> . ?T1 <http://valuenet/ontop/ref-fault_log_entry> ?T2 . ?T2 <http://valuenet/ontop/fault_log_entry_id> ?T2_fault_log_entry_id . } GROUP BY ?T2_fault_log_entry_id ORDER BY DESC (?aggregation_all) LIMIT 1
