nl_question,sparql_partial_uri,sparql_complete_uri
How many regions do we have?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :region . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/region> . }
Count the number of regions.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :region . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/region> . }
Show all region code and region name sorted by the codes.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_region_code ?T1_region_name WHERE { ?T1 a :region . ?T1 :region_code ?T1_region_code . ?T1 :region_name ?T1_region_name . ?T1 :region_code ?T1_region_code . } ORDER BY ASC (?T1_region_code)",SELECT ?T1_region_code ?T1_region_name WHERE { ?T1 a <http://valuenet/ontop/region> . ?T1 <http://valuenet/ontop/region_code> ?T1_region_code . ?T1 <http://valuenet/ontop/region_name> ?T1_region_name . ?T1 <http://valuenet/ontop/region_code> ?T1_region_code . } ORDER BY ASC (?T1_region_code)
"What are the codes and names for all regions, sorted by codes?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_region_code ?T1_region_name WHERE { ?T1 a :region . ?T1 :region_code ?T1_region_code . ?T1 :region_name ?T1_region_name . ?T1 :region_code ?T1_region_code . } ORDER BY ASC (?T1_region_code)",SELECT ?T1_region_code ?T1_region_name WHERE { ?T1 a <http://valuenet/ontop/region> . ?T1 <http://valuenet/ontop/region_code> ?T1_region_code . ?T1 <http://valuenet/ontop/region_name> ?T1_region_name . ?T1 <http://valuenet/ontop/region_code> ?T1_region_code . } ORDER BY ASC (?T1_region_code)
List all region names in alphabetical order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_region_name WHERE { ?T1 a :region . ?T1 :region_name ?T1_region_name . ?T1 :region_name ?T1_region_name . } ORDER BY ASC (?T1_region_name)",SELECT ?T1_region_name WHERE { ?T1 a <http://valuenet/ontop/region> . ?T1 <http://valuenet/ontop/region_name> ?T1_region_name . ?T1 <http://valuenet/ontop/region_name> ?T1_region_name . } ORDER BY ASC (?T1_region_name)
What are the names of the regions in alphabetical order?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_region_name WHERE { ?T1 a :region . ?T1 :region_name ?T1_region_name . ?T1 :region_name ?T1_region_name . } ORDER BY ASC (?T1_region_name)",SELECT ?T1_region_name WHERE { ?T1 a <http://valuenet/ontop/region> . ?T1 <http://valuenet/ontop/region_name> ?T1_region_name . ?T1 <http://valuenet/ontop/region_name> ?T1_region_name . } ORDER BY ASC (?T1_region_name)
Show names for all regions except for Denmark.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_region_name WHERE { ?T1 a :region . ?T1 :region_name ?T1_region_name . ?T1 :region_name ?T1_region_name . FILTER(?T1_region_name != 'Denmark') . }",SELECT ?T1_region_name WHERE { ?T1 a <http://valuenet/ontop/region> . ?T1 <http://valuenet/ontop/region_name> ?T1_region_name . ?T1 <http://valuenet/ontop/region_name> ?T1_region_name . FILTER(?T1_region_name != 'Denmark') . }
Return the names of all regions other than Denmark.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_region_name WHERE { ?T1 a :region . ?T1 :region_name ?T1_region_name . ?T1 :region_name ?T1_region_name . FILTER(?T1_region_name != 'Denmark') . }",SELECT ?T1_region_name WHERE { ?T1 a <http://valuenet/ontop/region> . ?T1 <http://valuenet/ontop/region_name> ?T1_region_name . ?T1 <http://valuenet/ontop/region_name> ?T1_region_name . FILTER(?T1_region_name != 'Denmark') . }
How many storms had death records?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :storm . ?T1 :number_deaths ?T1_number_deaths . FILTER(?T1_number_deaths > 0) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/storm> . ?T1 <http://valuenet/ontop/number_deaths> ?T1_number_deaths . FILTER(?T1_number_deaths > 0) . }
Count the number of storms in which at least 1 person died.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :storm . ?T1 :number_deaths ?T1_number_deaths . FILTER(?T1_number_deaths > 0) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/storm> . ?T1 <http://valuenet/ontop/number_deaths> ?T1_number_deaths . FILTER(?T1_number_deaths > 0) . }
