nl_question,sparql_partial_uri,sparql_complete_uri
How many members have the black membership card?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :member . ?T1 :membership_card ?T1_membership_card . FILTER(?T1_membership_card = 'Black') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/membership_card> ?T1_membership_card . FILTER(?T1_membership_card = 'Black') . }
Find the number of members living in each address.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) ?T1_address WHERE { ?T1 a :member . ?T1 :address ?T1_address . } GROUP BY ?T1_address",SELECT (count( *) as ?aggregation_all) ?T1_address WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/address> ?T1_address . } GROUP BY ?T1_address
Give me the names of members whose address is in Harford or Waterbury.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :member . ?T1 :name ?T1_name . ?T1 :address ?T1_address . ?T1 :address ?T1_address . FILTER(?T1_address = 'Harford' || ?T1_address = 'Waterbury') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/address> ?T1_address . ?T1 <http://valuenet/ontop/address> ?T1_address . FILTER(?T1_address = 'Harford' || ?T1_address = 'Waterbury') . }
Find the ids and names of members who are under age 30 or with black membership card.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_member_id WHERE { ?T1 a :member . ?T1 :name ?T1_name . ?T1 :member_id ?T1_member_id . ?T1 :membership_card ?T1_membership_card . ?T1 :age ?T1_age . FILTER(?T1_membership_card = 'Black' || ?T1_age < 30) . }",SELECT ?T1_name ?T1_member_id WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/member_id> ?T1_member_id . ?T1 <http://valuenet/ontop/membership_card> ?T1_membership_card . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_membership_card = 'Black' || ?T1_age < 30) . }
"Find the purchase time, age and address of each member, and show the results in the order of purchase time.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_time_of_purchase ?T1_age ?T1_address WHERE { ?T1 a :member . ?T1 :time_of_purchase ?T1_time_of_purchase . ?T1 :age ?T1_age . ?T1 :address ?T1_address . ?T1 :time_of_purchase ?T1_time_of_purchase . } ORDER BY ASC (?T1_time_of_purchase)",SELECT ?T1_time_of_purchase ?T1_age ?T1_address WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/time_of_purchase> ?T1_time_of_purchase . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/address> ?T1_address . ?T1 <http://valuenet/ontop/time_of_purchase> ?T1_time_of_purchase . } ORDER BY ASC (?T1_time_of_purchase)
Which membership card has more than 5 members?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_membership_card WHERE { ?T1 a :member . ?T1 :membership_card ?T1_membership_card . } GROUP BY ?T1_membership_card HAVING(count( *) > 5)",SELECT ?T1_membership_card WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/membership_card> ?T1_membership_card . } GROUP BY ?T1_membership_card HAVING(count( *) > 5)
Which address has both members younger than 30 and members older than 40?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_address WHERE { ?T1 a :member . ?T1 :address ?T1_address . ?T1 :age ?T1_age . FILTER(?T1_age < 30) . FILTER (?T1_address in (?T2_address)) . ?T2 a :member . ?T2 :address ?T2_address . ?T2 :age ?T2_age . FILTER(?T2_age > 40) . }",SELECT DISTINCT ?T1_address WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/address> ?T1_address . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age < 30) . FILTER (?T1_address in (?T2_address)) . ?T2 a <http://valuenet/ontop/member> . ?T2 <http://valuenet/ontop/address> ?T2_address . ?T2 <http://valuenet/ontop/age> ?T2_age . FILTER(?T2_age > 40) . }
What is the membership card held by both members living in Hartford and ones living in Waterbury address?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_membership_card WHERE { ?T1 a :member . ?T1 :membership_card ?T1_membership_card . ?T1 :address ?T1_address . FILTER(?T1_address = 'Hartford') . FILTER (?T1_membership_card in (?T2_membership_card)) . ?T2 a :member . ?T2 :membership_card ?T2_membership_card . ?T2 :address ?T2_address . FILTER(?T2_address = 'Waterbury') . }",SELECT DISTINCT ?T1_membership_card WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/membership_card> ?T1_membership_card . ?T1 <http://valuenet/ontop/address> ?T1_address . FILTER(?T1_address = 'Hartford') . FILTER (?T1_membership_card in (?T2_membership_card)) . ?T2 a <http://valuenet/ontop/member> . ?T2 <http://valuenet/ontop/membership_card> ?T2_membership_card . ?T2 <http://valuenet/ontop/address> ?T2_address . FILTER(?T2_address = 'Waterbury') . }
How many members are not living in Hartford?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :member . ?T1 :address ?T1_address . FILTER(?T1_address != 'Hartford') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/address> ?T1_address . FILTER(?T1_address != 'Hartford') . }
Which address do not have any member with the black membership card?,"PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1 WHERE { { SELECT (?T1_address as ?col1) WHERE { ?T1 a :member . ?T1 :address ?T1_address . }} MINUS {SELECT (?T2_address as ?col1) WHERE { ?T2 a :member . ?T2 :address ?T2_address . ?T2 :membership_card ?T2_membership_card . FILTER(?T2_membership_card = 'Black') . } } }",SELECT distinct?col1 WHERE { { SELECT (?T1_address as ?col1) WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/address> ?T1_address . }} MINUS {SELECT (?T2_address as ?col1) WHERE { ?T2 a <http://valuenet/ontop/member> . ?T2 <http://valuenet/ontop/address> ?T2_address . ?T2 <http://valuenet/ontop/membership_card> ?T2_membership_card . FILTER(?T2_membership_card = 'Black') . } } }
Show the shop addresses ordered by their opening year.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_address WHERE { ?T1 a :shop . ?T1 :address ?T1_address . ?T1 :open_year ?T1_open_year . } ORDER BY ASC (?T1_open_year)",SELECT ?T1_address WHERE { ?T1 a <http://valuenet/ontop/shop> . ?T1 <http://valuenet/ontop/address> ?T1_address . ?T1 <http://valuenet/ontop/open_year> ?T1_open_year . } ORDER BY ASC (?T1_open_year)
What are the average score and average staff number of all shops?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_num_of_staff) as ?aggregation_T1_num_of_staff_135 ) (avg( ?T1_score) as ?aggregation_T1_score_157 ) WHERE { ?T1 a :shop . ?T1 :num_of_staff ?T1_num_of_staff . ?T1 :score ?T1_score . }",SELECT (avg( ?T1_num_of_staff) as ?aggregation_T1_num_of_staff_135 ) (avg( ?T1_score) as ?aggregation_T1_score_157 ) WHERE { ?T1 a <http://valuenet/ontop/shop> . ?T1 <http://valuenet/ontop/num_of_staff> ?T1_num_of_staff . ?T1 <http://valuenet/ontop/score> ?T1_score . }
