nl_question,sparql_partial_uri,sparql_complete_uri
How many schools are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :school . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/school> . }
Count the number of schools.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :school . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/school> . }
Show all school names in alphabetical order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_school_name WHERE { ?T1 a :school . ?T1 :school_name ?T1_school_name . ?T1 :school_name ?T1_school_name . } ORDER BY ASC (?T1_school_name)",SELECT ?T1_school_name WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/school_name> ?T1_school_name . ?T1 <http://valuenet/ontop/school_name> ?T1_school_name . } ORDER BY ASC (?T1_school_name)
"List the name, location, mascot for all schools.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_school_name ?T1_location ?T1_mascot WHERE { ?T1 a :school . ?T1 :school_name ?T1_school_name . ?T1 :location ?T1_location . ?T1 :mascot ?T1_mascot . }",SELECT ?T1_school_name ?T1_location ?T1_mascot WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/school_name> ?T1_school_name . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/mascot> ?T1_mascot . }
What are the total and average enrollment of all schools?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_enrollment) as ?aggregation_T1_enrollment_6 ) (avg( ?T1_enrollment) as ?aggregation_T1_enrollment_76 ) WHERE { ?T1 a :school . ?T1 :enrollment ?T1_enrollment . ?T1 :enrollment ?T1_enrollment . }",SELECT (sum( ?T1_enrollment) as ?aggregation_T1_enrollment_6 ) (avg( ?T1_enrollment) as ?aggregation_T1_enrollment_76 ) WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . }
What are the mascots for schools with enrollments above the average?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_mascot WHERE { ?T1 a :school . ?T1 :mascot ?T1_mascot . ?T1 :enrollment ?T1_enrollment . FILTER(?T1_enrollment > (?aggregation_T22_enrollment_84)) . {SELECT (avg( ?T22_enrollment) as ?aggregation_T22_enrollment_84 ) WHERE { ?T22 a :school . ?T22 :enrollment ?T22_enrollment . } } }",SELECT ?T1_mascot WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/mascot> ?T1_mascot . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . FILTER(?T1_enrollment > (?aggregation_T22_enrollment_84)) . {SELECT (avg( ?T22_enrollment) as ?aggregation_T22_enrollment_84 ) WHERE { ?T22 a <http://valuenet/ontop/school> . ?T22 <http://valuenet/ontop/enrollment> ?T22_enrollment . } } }
List the name of the school with the smallest enrollment.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_school_name WHERE { ?T1 a :school . ?T1 :school_name ?T1_school_name . ?T1 :enrollment ?T1_enrollment . } ORDER BY ASC (?T1_enrollment) LIMIT 1",SELECT ?T1_school_name WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/school_name> ?T1_school_name . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . } ORDER BY ASC (?T1_enrollment) LIMIT 1
"Show the average, maximum, minimum enrollment of all schools.","PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_enrollment) as ?aggregation_T1_enrollment_188 ) (max( ?T1_enrollment) as ?aggregation_T1_enrollment_66 ) (min( ?T1_enrollment) as ?aggregation_T1_enrollment_144 ) WHERE { ?T1 a :school . ?T1 :enrollment ?T1_enrollment . ?T1 :enrollment ?T1_enrollment . ?T1 :enrollment ?T1_enrollment . }",SELECT (avg( ?T1_enrollment) as ?aggregation_T1_enrollment_188 ) (max( ?T1_enrollment) as ?aggregation_T1_enrollment_66 ) (min( ?T1_enrollment) as ?aggregation_T1_enrollment_144 ) WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . }
Show each county along with the number of schools and total enrollment in each county.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_county (count( *) as ?aggregation_all) (sum( ?T1_enrollment) as ?aggregation_T1_enrollment_93 ) WHERE { ?T1 a :school . ?T1 :county ?T1_county . ?T1 :enrollment ?T1_enrollment . } GROUP BY ?T1_county",SELECT ?T1_county (count( *) as ?aggregation_all) (sum( ?T1_enrollment) as ?aggregation_T1_enrollment_93 ) WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/county> ?T1_county . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . } GROUP BY ?T1_county
How many donors have endowment for school named 'Glenn'?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_donator_name) as ?aggregation_T1_donator_name_106 ) WHERE { ?T1 a :endowment . ?T2 a :school . ?T1 :ref-school ?T2 . ?T1 :donator_name ?T1_donator_name . ?T2 :school_name ?T2_school_name . FILTER(?T2_school_name = 'Glenn') . }",SELECT DISTINCT (count(DISTINCT ?T1_donator_name) as ?aggregation_T1_donator_name_106 ) WHERE { ?T1 a <http://valuenet/ontop/endowment> . ?T2 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/ref-school> ?T2 . ?T1 <http://valuenet/ontop/donator_name> ?T1_donator_name . ?T2 <http://valuenet/ontop/school_name> ?T2_school_name . FILTER(?T2_school_name = 'Glenn') . }
