nl_question,sparql_partial_uri,sparql_complete_uri
How many books are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :book . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/book> . }
List the writers of the books in ascending alphabetical order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_writer WHERE { ?T1 a :book . ?T1 :writer ?T1_writer . ?T1 :writer ?T1_writer . } ORDER BY ASC (?T1_writer)",SELECT ?T1_writer WHERE { ?T1 a <http://valuenet/ontop/book> . ?T1 <http://valuenet/ontop/writer> ?T1_writer . ?T1 <http://valuenet/ontop/writer> ?T1_writer . } ORDER BY ASC (?T1_writer)
List the titles of the books in ascending order of issues.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_title WHERE { ?T1 a :book . ?T1 :title ?T1_title . ?T1 :issues ?T1_issues . } ORDER BY ASC (?T1_issues)",SELECT ?T1_title WHERE { ?T1 a <http://valuenet/ontop/book> . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T1 <http://valuenet/ontop/issues> ?T1_issues . } ORDER BY ASC (?T1_issues)
What are the titles of the books whose writer is not 'Elaine Lee'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_title WHERE { ?T1 a :book . ?T1 :title ?T1_title . ?T1 :writer ?T1_writer . FILTER(?T1_writer != 'Elaine Lee') . }",SELECT ?T1_title WHERE { ?T1 a <http://valuenet/ontop/book> . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T1 <http://valuenet/ontop/writer> ?T1_writer . FILTER(?T1_writer != 'Elaine Lee') . }
What are the title and issues of the books?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_title ?T1_issues WHERE { ?T1 a :book . ?T1 :title ?T1_title . ?T1 :issues ?T1_issues . }",SELECT ?T1_title ?T1_issues WHERE { ?T1 a <http://valuenet/ontop/book> . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T1 <http://valuenet/ontop/issues> ?T1_issues . }
What are the dates of publications in descending order of price?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_publication_date WHERE { ?T1 a :publication . ?T1 :publication_date ?T1_publication_date . ?T1 :price ?T1_price . } ORDER BY DESC (?T1_price)",SELECT ?T1_publication_date WHERE { ?T1 a <http://valuenet/ontop/publication> . ?T1 <http://valuenet/ontop/publication_date> ?T1_publication_date . ?T1 <http://valuenet/ontop/price> ?T1_price . } ORDER BY DESC (?T1_price)
What are the distinct publishers of publications with price higher than 5000000?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_publisher WHERE { ?T1 a :publication . ?T1 :publisher ?T1_publisher . ?T1 :price ?T1_price . FILTER(?T1_price > 5000000) . }",SELECT DISTINCT ?T1_publisher WHERE { ?T1 a <http://valuenet/ontop/publication> . ?T1 <http://valuenet/ontop/publisher> ?T1_publisher . ?T1 <http://valuenet/ontop/price> ?T1_price . FILTER(?T1_price > 5000000) . }
List the publisher of the publication with the highest price.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_publisher WHERE { ?T1 a :publication . ?T1 :publisher ?T1_publisher . ?T1 :price ?T1_price . } ORDER BY DESC (?T1_price) LIMIT 1",SELECT ?T1_publisher WHERE { ?T1 a <http://valuenet/ontop/publication> . ?T1 <http://valuenet/ontop/publisher> ?T1_publisher . ?T1 <http://valuenet/ontop/price> ?T1_price . } ORDER BY DESC (?T1_price) LIMIT 1
List the publication dates of publications with 3 lowest prices.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_publication_date WHERE { ?T1 a :publication . ?T1 :publication_date ?T1_publication_date . ?T1 :price ?T1_price . } ORDER BY ASC (?T1_price) LIMIT 1",SELECT ?T1_publication_date WHERE { ?T1 a <http://valuenet/ontop/publication> . ?T1 <http://valuenet/ontop/publication_date> ?T1_publication_date . ?T1 <http://valuenet/ontop/price> ?T1_price . } ORDER BY ASC (?T1_price) LIMIT 1
Show the title and publication dates of books.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_title ?T2_publication_date WHERE { ?T1 a :book . ?T2 a :publication . ?T2 :ref-book ?T1 . ?T1 :title ?T1_title . ?T2 :publication_date ?T2_publication_date . }",SELECT ?T1_title ?T2_publication_date WHERE { ?T1 a <http://valuenet/ontop/book> . ?T2 a <http://valuenet/ontop/publication> . ?T2 <http://valuenet/ontop/ref-book> ?T1 . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T2 <http://valuenet/ontop/publication_date> ?T2_publication_date . }
