nl_question,sparql_partial_uri,sparql_complete_uri
Display the first name and department name for each employee.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_first_name ?T2_department_name WHERE { ?T1 a :employees . ?T2 a :departments . ?T1 :ref-department ?T2 . ?T1 :first_name ?T1_first_name . ?T2 :department_name ?T2_department_name . }",SELECT ?T1_first_name ?T2_department_name WHERE { ?T1 a <http://valuenet/ontop/employees> . ?T2 a <http://valuenet/ontop/departments> . ?T1 <http://valuenet/ontop/ref-department> ?T2 . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T2 <http://valuenet/ontop/department_name> ?T2_department_name . }
What are the first name and department name of all employees?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_first_name ?T2_department_name WHERE { ?T1 a :employees . ?T2 a :departments . ?T1 :ref-department ?T2 . ?T1 :first_name ?T1_first_name . ?T2 :department_name ?T2_department_name . }",SELECT ?T1_first_name ?T2_department_name WHERE { ?T1 a <http://valuenet/ontop/employees> . ?T2 a <http://valuenet/ontop/departments> . ?T1 <http://valuenet/ontop/ref-department> ?T2 . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T2 <http://valuenet/ontop/department_name> ?T2_department_name . }
"List the full name (first and last name), and salary for those employees who earn below 6000.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_first_name ?T1_last_name ?T1_salary WHERE { ?T1 a :employees . ?T1 :first_name ?T1_first_name . ?T1 :last_name ?T1_last_name . ?T1 :salary ?T1_salary . ?T1 :salary ?T1_salary . FILTER(?T1_salary < 6000) . }",SELECT ?T1_first_name ?T1_last_name ?T1_salary WHERE { ?T1 a <http://valuenet/ontop/employees> . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . ?T1 <http://valuenet/ontop/salary> ?T1_salary . ?T1 <http://valuenet/ontop/salary> ?T1_salary . FILTER(?T1_salary < 6000) . }
What are the full names and salaries for any employees earning less than 6000?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_first_name ?T1_last_name ?T1_salary WHERE { ?T1 a :employees . ?T1 :first_name ?T1_first_name . ?T1 :last_name ?T1_last_name . ?T1 :salary ?T1_salary . ?T1 :salary ?T1_salary . FILTER(?T1_salary < 6000) . }",SELECT ?T1_first_name ?T1_last_name ?T1_salary WHERE { ?T1 a <http://valuenet/ontop/employees> . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . ?T1 <http://valuenet/ontop/salary> ?T1_salary . ?T1 <http://valuenet/ontop/salary> ?T1_salary . FILTER(?T1_salary < 6000) . }
"Display the first name, and department number for all employees whose last name is 'McEwen'.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_first_name ?T1_department_id WHERE { ?T1 a :employees . ?T1 :first_name ?T1_first_name . ?T1 :department_id ?T1_department_id . ?T1 :last_name ?T1_last_name . FILTER(?T1_last_name = 'McEwen') . }",SELECT ?T1_first_name ?T1_department_id WHERE { ?T1 a <http://valuenet/ontop/employees> . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/department_id> ?T1_department_id . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . FILTER(?T1_last_name = 'McEwen') . }
What are the first names and department numbers for employees with last name McEwen?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_first_name ?T1_department_id WHERE { ?T1 a :employees . ?T1 :first_name ?T1_first_name . ?T1 :department_id ?T1_department_id . ?T1 :last_name ?T1_last_name . FILTER(?T1_last_name = 'McEwen') . }",SELECT ?T1_first_name ?T1_department_id WHERE { ?T1 a <http://valuenet/ontop/employees> . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/department_id> ?T1_department_id . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . FILTER(?T1_last_name = 'McEwen') . }
Display all the information about the department Marketing.,"PREFIX : <http://valuenet/ontop/>
SELECT * WHERE { ?T1 a :departments . ?T1 :department_name ?T1_department_name . FILTER(?T1_department_name = 'Marketing') . }",SELECT * WHERE { ?T1 a <http://valuenet/ontop/departments> . ?T1 <http://valuenet/ontop/department_name> ?T1_department_name . FILTER(?T1_department_name = 'Marketing') . }
What is all the information about the Marketing department?,"PREFIX : <http://valuenet/ontop/>
SELECT * WHERE { ?T1 a :departments . ?T1 :department_name ?T1_department_name . FILTER(?T1_department_name = 'Marketing') . }",SELECT * WHERE { ?T1 a <http://valuenet/ontop/departments> . ?T1 <http://valuenet/ontop/department_name> ?T1_department_name . FILTER(?T1_department_name = 'Marketing') . }
when is the hire date for those employees whose first name does not containing the letter M?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_hire_date WHERE { ?T1 a :employees . ?T1 :hire_date ?T1_hire_date . ?T1 :first_name ?T1_first_name . FILTER (contains(lcase(?T1_first_name), 'm') = FALSE) }","SELECT ?T1_hire_date WHERE { ?T1 a <http://valuenet/ontop/employees> . ?T1 <http://valuenet/ontop/hire_date> ?T1_hire_date . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . FILTER (contains(lcase(?T1_first_name), 'm') = FALSE) }"
On what dates were employees without the letter M in their first names hired?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_hire_date WHERE { ?T1 a :employees . ?T1 :hire_date ?T1_hire_date . ?T1 :first_name ?T1_first_name . FILTER (contains(lcase(?T1_first_name), 'm') = FALSE) . }","SELECT ?T1_hire_date WHERE { ?T1 a <http://valuenet/ontop/employees> . ?T1 <http://valuenet/ontop/hire_date> ?T1_hire_date . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . FILTER (contains(lcase(?T1_first_name), 'm') = FALSE) . }"
