nl_question,sparql_partial_uri,sparql_complete_uri
What is the name of the song that was released in the most recent year?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_song_name ?T1_releasedate WHERE { ?T1 a :song . ?T1 :song_name ?T1_song_name . ?T1 :releasedate ?T1_releasedate . ?T1 :releasedate ?T1_releasedate . } ORDER BY DESC (?T1_releasedate) LIMIT 1",SELECT ?T1_song_name ?T1_releasedate WHERE { ?T1 a <http://valuenet/ontop/song> . ?T1 <http://valuenet/ontop/song_name> ?T1_song_name . ?T1 <http://valuenet/ontop/releasedate> ?T1_releasedate . ?T1 <http://valuenet/ontop/releasedate> ?T1_releasedate . } ORDER BY DESC (?T1_releasedate) LIMIT 1
What is the name of the song that was released most recently?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_song_name ?T1_releasedate WHERE { ?T1 a :song . ?T1 :song_name ?T1_song_name . ?T1 :releasedate ?T1_releasedate . ?T1 :releasedate ?T1_releasedate . } ORDER BY DESC (?T1_releasedate) LIMIT 1",SELECT ?T1_song_name ?T1_releasedate WHERE { ?T1 a <http://valuenet/ontop/song> . ?T1 <http://valuenet/ontop/song_name> ?T1_song_name . ?T1 <http://valuenet/ontop/releasedate> ?T1_releasedate . ?T1 <http://valuenet/ontop/releasedate> ?T1_releasedate . } ORDER BY DESC (?T1_releasedate) LIMIT 1
What is the id of the longest song?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_f_id WHERE { ?T1 a :files . ?T1 :f_id ?T1_f_id . ?T1 :duration ?T1_duration . } ORDER BY DESC (?T1_duration) LIMIT 1",SELECT ?T1_f_id WHERE { ?T1 a <http://valuenet/ontop/files> . ?T1 <http://valuenet/ontop/f_id> ?T1_f_id . ?T1 <http://valuenet/ontop/duration> ?T1_duration . } ORDER BY DESC (?T1_duration) LIMIT 1
Find the id of the song that lasts the longest.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_f_id WHERE { ?T1 a :files . ?T1 :f_id ?T1_f_id . ?T1 :duration ?T1_duration . } ORDER BY DESC (?T1_duration) LIMIT 1",SELECT ?T1_f_id WHERE { ?T1 a <http://valuenet/ontop/files> . ?T1 <http://valuenet/ontop/f_id> ?T1_f_id . ?T1 <http://valuenet/ontop/duration> ?T1_duration . } ORDER BY DESC (?T1_duration) LIMIT 1
Find the names of all English songs.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_song_name WHERE { ?T1 a :song . ?T1 :song_name ?T1_song_name . ?T1 :languages ?T1_languages . FILTER(?T1_languages = 'english') . }",SELECT ?T1_song_name WHERE { ?T1 a <http://valuenet/ontop/song> . ?T1 <http://valuenet/ontop/song_name> ?T1_song_name . ?T1 <http://valuenet/ontop/languages> ?T1_languages . FILTER(?T1_languages = 'english') . }
What are the names of all songs in English?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_song_name WHERE { ?T1 a :song . ?T1 :song_name ?T1_song_name . ?T1 :languages ?T1_languages . FILTER(?T1_languages = 'english') . }",SELECT ?T1_song_name WHERE { ?T1 a <http://valuenet/ontop/song> . ?T1 <http://valuenet/ontop/song_name> ?T1_song_name . ?T1 <http://valuenet/ontop/languages> ?T1_languages . FILTER(?T1_languages = 'english') . }
What are the id of songs whose format is mp3.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_f_id WHERE { ?T1 a :files . ?T1 :f_id ?T1_f_id . ?T1 :formats ?T1_formats . FILTER(?T1_formats = 'mp3') . }",SELECT ?T1_f_id WHERE { ?T1 a <http://valuenet/ontop/files> . ?T1 <http://valuenet/ontop/f_id> ?T1_f_id . ?T1 <http://valuenet/ontop/formats> ?T1_formats . FILTER(?T1_formats = 'mp3') . }
What are the id of all the files in mp3 format?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_f_id WHERE { ?T1 a :files . ?T1 :f_id ?T1_f_id . ?T1 :formats ?T1_formats . FILTER(?T1_formats = 'mp3') . }",SELECT ?T1_f_id WHERE { ?T1 a <http://valuenet/ontop/files> . ?T1 <http://valuenet/ontop/f_id> ?T1_f_id . ?T1 <http://valuenet/ontop/formats> ?T1_formats . FILTER(?T1_formats = 'mp3') . }
List the name and country of origin for all singers who have produced songs with rating above 9.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_artist_name ?T1_country WHERE { ?T1 a :artist . ?T2 a :song . ?T2 :ref-artist_name ?T1 . ?T1 :artist_name ?T1_artist_name . ?T1 :country ?T1_country . ?T2 :song-rating ?T2_rating . FILTER(?T2_rating > 9) . }",SELECT DISTINCT ?T1_artist_name ?T1_country WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T2 a <http://valuenet/ontop/song> . ?T2 <http://valuenet/ontop/ref-artist_name> ?T1 . ?T1 <http://valuenet/ontop/artist_name> ?T1_artist_name . ?T1 <http://valuenet/ontop/country> ?T1_country . ?T2 <http://valuenet/ontop/song-rating> ?T2_rating . FILTER(?T2_rating > 9) . }
What are the different names and countries of origins for all artists whose song ratings are above 9?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_artist_name ?T1_country WHERE { ?T1 a :artist . ?T2 a :song . ?T2 :ref-artist_name ?T1 . ?T1 :artist_name ?T1_artist_name . ?T1 :country ?T1_country . ?T2 :song-rating ?T2_rating . FILTER(?T2_rating > 9) . }",SELECT DISTINCT ?T1_artist_name ?T1_country WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T2 a <http://valuenet/ontop/song> . ?T2 <http://valuenet/ontop/ref-artist_name> ?T1 . ?T1 <http://valuenet/ontop/artist_name> ?T1_artist_name . ?T1 <http://valuenet/ontop/country> ?T1_country . ?T2 <http://valuenet/ontop/song-rating> ?T2_rating . FILTER(?T2_rating > 9) . }
List the file size and format for all songs that have resolution lower than 800.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_file_size ?T1_formats WHERE { ?T1 a :files . ?T2 a :song . ?T2 :ref-f ?T1 . ?T1 :file_size ?T1_file_size . ?T1 :formats ?T1_formats . ?T2 :resolution ?T2_resolution . FILTER(?T2_resolution < 800) . }",SELECT DISTINCT ?T1_file_size ?T1_formats WHERE { ?T1 a <http://valuenet/ontop/files> . ?T2 a <http://valuenet/ontop/song> . ?T2 <http://valuenet/ontop/ref-f> ?T1 . ?T1 <http://valuenet/ontop/file_size> ?T1_file_size . ?T1 <http://valuenet/ontop/formats> ?T1_formats . ?T2 <http://valuenet/ontop/resolution> ?T2_resolution . FILTER(?T2_resolution < 800) . }
What are the file sizes and formats for all songs with a resolution lower than 800?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_file_size ?T1_formats WHERE { ?T1 a :files . ?T2 a :song . ?T2 :ref-f ?T1 . ?T1 :file_size ?T1_file_size . ?T1 :formats ?T1_formats . ?T2 :resolution ?T2_resolution . FILTER(?T2_resolution < 800) . }",SELECT DISTINCT ?T1_file_size ?T1_formats WHERE { ?T1 a <http://valuenet/ontop/files> . ?T2 a <http://valuenet/ontop/song> . ?T2 <http://valuenet/ontop/ref-f> ?T1 . ?T1 <http://valuenet/ontop/file_size> ?T1_file_size . ?T1 <http://valuenet/ontop/formats> ?T1_formats . ?T2 <http://valuenet/ontop/resolution> ?T2_resolution . FILTER(?T2_resolution < 800) . }
