nl_question,sparql_partial_uri,sparql_complete_uri
How many friends does Dan have?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( ?T1_friend) as ?aggregation_T1_friend_66 ) WHERE { ?T1 a :personfriend . ?T2 a :person . ?T1 :ref-friend ?T2 . ?T1 :friend ?T1_friend . ?T2 :name ?T2_name . FILTER(?T2_name = 'Dan') . }",SELECT (count( ?T1_friend) as ?aggregation_T1_friend_66 ) WHERE { ?T1 a <http://valuenet/ontop/personfriend> . ?T2 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/ref-friend> ?T2 . ?T1 <http://valuenet/ontop/friend> ?T1_friend . ?T2 <http://valuenet/ontop/name> ?T2_name . FILTER(?T2_name = 'Dan') . }
How many friends does Dan have?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( ?T1_friend) as ?aggregation_T1_friend_142 ) WHERE { ?T1 a :personfriend . ?T2 a :person . ?T1 :ref-friend ?T2 . ?T1 :friend ?T1_friend . ?T2 :name ?T2_name . FILTER(?T2_name = 'Dan') . }",SELECT (count( ?T1_friend) as ?aggregation_T1_friend_142 ) WHERE { ?T1 a <http://valuenet/ontop/personfriend> . ?T2 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/ref-friend> ?T2 . ?T1 <http://valuenet/ontop/friend> ?T1_friend . ?T2 <http://valuenet/ontop/name> ?T2_name . FILTER(?T2_name = 'Dan') . }
How many females does this network has?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :person . ?T1 :gender ?T1_gender . FILTER(?T1_gender = 'female') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/gender> ?T1_gender . FILTER(?T1_gender = 'female') . }
How many females are in the network?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :person . ?T1 :gender ?T1_gender . FILTER(?T1_gender = 'female') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/gender> ?T1_gender . FILTER(?T1_gender = 'female') . }
What is the average age for all person?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_196 ) WHERE { ?T1 a :person . ?T1 :age ?T1_age . }",SELECT (avg( ?T1_age) as ?aggregation_T1_age_196 ) WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . }
What is the average age for all people in the table?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_175 ) WHERE { ?T1 a :person . ?T1 :age ?T1_age . }",SELECT (avg( ?T1_age) as ?aggregation_T1_age_175 ) WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . }
How many different cities are they from?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_city) as ?aggregation_T1_city_174 ) WHERE { ?T1 a :person . ?T1 :city ?T1_city . }",SELECT DISTINCT (count(DISTINCT ?T1_city) as ?aggregation_T1_city_174 ) WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/city> ?T1_city . }
How many different cities do people originate from?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_city) as ?aggregation_T1_city_178 ) WHERE { ?T1 a :person . ?T1 :city ?T1_city . }",SELECT DISTINCT (count(DISTINCT ?T1_city) as ?aggregation_T1_city_178 ) WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/city> ?T1_city . }
How many type of jobs do they have?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_job) as ?aggregation_T1_job_115 ) WHERE { ?T1 a :person . ?T1 :job ?T1_job . }",SELECT DISTINCT (count(DISTINCT ?T1_job) as ?aggregation_T1_job_115 ) WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/job> ?T1_job . }
How many different jobs are listed?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_job) as ?aggregation_T1_job_146 ) WHERE { ?T1 a :person . ?T1 :job ?T1_job . }",SELECT DISTINCT (count(DISTINCT ?T1_job) as ?aggregation_T1_job_146 ) WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/job> ?T1_job . }
Who is the oldest person?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :person . ?T1 :name ?T1_name . ?T1 :age ?T1_age . FILTER(?T1_age = (?aggregation_T22_age_8)) . {SELECT (max( ?T22_age) as ?aggregation_T22_age_8 ) WHERE { ?T22 a :person . ?T22 :age ?T22_age . } } }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age = (?aggregation_T22_age_8)) . {SELECT (max( ?T22_age) as ?aggregation_T22_age_8 ) WHERE { ?T22 a <http://valuenet/ontop/person> . ?T22 <http://valuenet/ontop/age> ?T22_age . } } }
What is the name of the person who is the oldest?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :person . ?T1 :name ?T1_name . ?T1 :age ?T1_age . FILTER(?T1_age = (?aggregation_T22_age_12)) . {SELECT (max( ?T22_age) as ?aggregation_T22_age_12 ) WHERE { ?T22 a :person . ?T22 :age ?T22_age . } } }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age = (?aggregation_T22_age_12)) . {SELECT (max( ?T22_age) as ?aggregation_T22_age_12 ) WHERE { ?T22 a <http://valuenet/ontop/person> . ?T22 <http://valuenet/ontop/age> ?T22_age . } } }
Who is the oldest person whose job is student?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :person . ?T1 :name ?T1_name . ?T1 :job ?T1_job . ?T1 :age ?T1_age . FILTER(?T1_job = 'student' && ?T1_age = (?T22_job)) . {SELECT (max( ?T22_age) as ?aggregation_T22_age_17 ) WHERE { ?T22 a :person . ?T22 :age ?T22_age . ?T22 :job ?T22_job . FILTER(?T22_job = 'student') . } } }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/job> ?T1_job . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_job = 'student' && ?T1_age = (?T22_job)) . {SELECT (max( ?T22_age) as ?aggregation_T22_age_17 ) WHERE { ?T22 a <http://valuenet/ontop/person> . ?T22 <http://valuenet/ontop/age> ?T22_age . ?T22 <http://valuenet/ontop/job> ?T22_job . FILTER(?T22_job = 'student') . } } }
What is the name of the oldest student?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :person . ?T1 :name ?T1_name . ?T1 :job ?T1_job . ?T1 :age ?T1_age . FILTER(?T1_job = 'student' && ?T1_age = (?T22_job)) . {SELECT (max( ?T22_age) as ?aggregation_T22_age_179 ) WHERE { ?T22 a :person . ?T22 :age ?T22_age . ?T22 :job ?T22_job . FILTER(?T22_job = 'student') . } } }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/job> ?T1_job . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_job = 'student' && ?T1_age = (?T22_job)) . {SELECT (max( ?T22_age) as ?aggregation_T22_age_179 ) WHERE { ?T22 a <http://valuenet/ontop/person> . ?T22 <http://valuenet/ontop/age> ?T22_age . ?T22 <http://valuenet/ontop/job> ?T22_job . FILTER(?T22_job = 'student') . } } }
Who is the youngest male?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :person . ?T1 :name ?T1_name . ?T1 :gender ?T1_gender . ?T1 :age ?T1_age . FILTER(?T1_gender = 'male' && ?T1_age = (?T22_gender)) . {SELECT (min( ?T22_age) as ?aggregation_T22_age_26 ) WHERE { ?T22 a :person . ?T22 :age ?T22_age . ?T22 :gender ?T22_gender . FILTER(?T22_gender = 'male') . } } }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/gender> ?T1_gender . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_gender = 'male' && ?T1_age = (?T22_gender)) . {SELECT (min( ?T22_age) as ?aggregation_T22_age_26 ) WHERE { ?T22 a <http://valuenet/ontop/person> . ?T22 <http://valuenet/ontop/age> ?T22_age . ?T22 <http://valuenet/ontop/gender> ?T22_gender . FILTER(?T22_gender = 'male') . } } }
What is the name of the youngest male?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :person . ?T1 :name ?T1_name . ?T1 :gender ?T1_gender . ?T1 :age ?T1_age . FILTER(?T1_gender = 'male' && ?T1_age = (?T22_gender)) . {SELECT (min( ?T22_age) as ?aggregation_T22_age_122 ) WHERE { ?T22 a :person . ?T22 :age ?T22_age . ?T22 :gender ?T22_gender . FILTER(?T22_gender = 'male') . } } }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/gender> ?T1_gender . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_gender = 'male' && ?T1_age = (?T22_gender)) . {SELECT (min( ?T22_age) as ?aggregation_T22_age_122 ) WHERE { ?T22 a <http://valuenet/ontop/person> . ?T22 <http://valuenet/ontop/age> ?T22_age . ?T22 <http://valuenet/ontop/gender> ?T22_gender . FILTER(?T22_gender = 'male') . } } }
How old is the doctor named Zach?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_age WHERE { ?T1 a :person . ?T1 :age ?T1_age . ?T1 :job ?T1_job . ?T1 :name ?T1_name . FILTER(?T1_job = 'doctor' && ?T1_name = 'Zach') . }",SELECT ?T1_age WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/job> ?T1_job . ?T1 <http://valuenet/ontop/name> ?T1_name . FILTER(?T1_job = 'doctor' && ?T1_name = 'Zach') . }
What is the age of the doctor named Zach?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_age WHERE { ?T1 a :person . ?T1 :age ?T1_age . ?T1 :job ?T1_job . ?T1 :name ?T1_name . FILTER(?T1_job = 'doctor' && ?T1_name = 'Zach') . }",SELECT ?T1_age WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/job> ?T1_job . ?T1 <http://valuenet/ontop/name> ?T1_name . FILTER(?T1_job = 'doctor' && ?T1_name = 'Zach') . }
Who is the person whose age is below 30?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :person . ?T1 :name ?T1_name . ?T1 :age ?T1_age . FILTER(?T1_age < 30) . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age < 30) . }
What is the name of the person whose age is below 30?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :person . ?T1 :name ?T1_name . ?T1 :age ?T1_age . FILTER(?T1_age < 30) . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age < 30) . }
How many people whose age is greater 30 and job is engineer?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :person . ?T1 :age ?T1_age . ?T1 :job ?T1_job . FILTER(?T1_age > 30 && ?T1_job = 'engineer') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/job> ?T1_job . FILTER(?T1_age > 30 && ?T1_job = 'engineer') . }
HOw many engineers are older than 30?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :person . ?T1 :age ?T1_age . ?T1 :job ?T1_job . FILTER(?T1_age > 30 && ?T1_job = 'engineer') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/job> ?T1_job . FILTER(?T1_age > 30 && ?T1_job = 'engineer') . }
What is the average age for each gender?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_191 ) ?T1_gender WHERE { ?T1 a :person . ?T1 :age ?T1_age . ?T1 :gender ?T1_gender . } GROUP BY ?T1_gender",SELECT (avg( ?T1_age) as ?aggregation_T1_age_191 ) ?T1_gender WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/gender> ?T1_gender . } GROUP BY ?T1_gender
"How old is each gender, on average?","PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_16 ) ?T1_gender WHERE { ?T1 a :person . ?T1 :age ?T1_age . ?T1 :gender ?T1_gender . } GROUP BY ?T1_gender",SELECT (avg( ?T1_age) as ?aggregation_T1_age_16 ) ?T1_gender WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/gender> ?T1_gender . } GROUP BY ?T1_gender
What is average age for different job title?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_126 ) ?T1_job WHERE { ?T1 a :person . ?T1 :age ?T1_age . ?T1 :job ?T1_job . } GROUP BY ?T1_job",SELECT (avg( ?T1_age) as ?aggregation_T1_age_126 ) ?T1_job WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/job> ?T1_job . } GROUP BY ?T1_job
How old is the average person for each job?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_109 ) ?T1_job WHERE { ?T1 a :person . ?T1 :age ?T1_age . ?T1 :job ?T1_job . } GROUP BY ?T1_job",SELECT (avg( ?T1_age) as ?aggregation_T1_age_109 ) ?T1_job WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/job> ?T1_job . } GROUP BY ?T1_job
What is average age of male for different job title?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_49 ) ?T1_job WHERE { ?T1 a :person . ?T1 :age ?T1_age . ?T1 :job ?T1_job . ?T1 :gender ?T1_gender . FILTER(?T1_gender = 'male') . } GROUP BY ?T1_job",SELECT (avg( ?T1_age) as ?aggregation_T1_age_49 ) ?T1_job WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/job> ?T1_job . ?T1 <http://valuenet/ontop/gender> ?T1_gender . FILTER(?T1_gender = 'male') . } GROUP BY ?T1_job
What is the average age for a male in each job?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_132 ) ?T1_job WHERE { ?T1 a :person . ?T1 :age ?T1_age . ?T1 :job ?T1_job . ?T1 :gender ?T1_gender . FILTER(?T1_gender = 'male') . } GROUP BY ?T1_job",SELECT (avg( ?T1_age) as ?aggregation_T1_age_132 ) ?T1_job WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/job> ?T1_job . ?T1 <http://valuenet/ontop/gender> ?T1_gender . FILTER(?T1_gender = 'male') . } GROUP BY ?T1_job
What is minimum age for different job title?,"PREFIX : <http://valuenet/ontop/>
SELECT (min( ?T1_age) as ?aggregation_T1_age_142 ) ?T1_job WHERE { ?T1 a :person . ?T1 :age ?T1_age . ?T1 :job ?T1_job . } GROUP BY ?T1_job",SELECT (min( ?T1_age) as ?aggregation_T1_age_142 ) ?T1_job WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/job> ?T1_job . } GROUP BY ?T1_job
How old is the youngest person for each job?,"PREFIX : <http://valuenet/ontop/>
SELECT (min( ?T1_age) as ?aggregation_T1_age_185 ) ?T1_job WHERE { ?T1 a :person . ?T1 :age ?T1_age . ?T1 :job ?T1_job . } GROUP BY ?T1_job",SELECT (min( ?T1_age) as ?aggregation_T1_age_185 ) ?T1_job WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/job> ?T1_job . } GROUP BY ?T1_job
Find the number of people who is under 40 for each gender.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) ?T1_gender WHERE { ?T1 a :person . ?T1 :gender ?T1_gender . ?T1 :age ?T1_age . FILTER(?T1_age < 40) . } GROUP BY ?T1_gender",SELECT (count( *) as ?aggregation_all) ?T1_gender WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/gender> ?T1_gender . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age < 40) . } GROUP BY ?T1_gender
How many people are under 40 for each gender?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) ?T1_gender WHERE { ?T1 a :person . ?T1 :gender ?T1_gender . ?T1 :age ?T1_age . FILTER(?T1_age < 40) . } GROUP BY ?T1_gender",SELECT (count( *) as ?aggregation_all) ?T1_gender WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/gender> ?T1_gender . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age < 40) . } GROUP BY ?T1_gender
Find the name of people whose age is greater than any engineer sorted by their age.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :person . ?T1 :name ?T1_name . ?T1 :age ?T1_age . ?T1 :age ?T1_age . FILTER(?T1_age > (?T22_job)) . {SELECT (min( ?T22_age) as ?aggregation_T22_age_18 ) WHERE { ?T22 a :person . ?T22 :age ?T22_age . ?T22 :job ?T22_job . FILTER(?T22_job = 'engineer') . } } } ORDER BY ASC (?T1_age)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/person> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age > (?T22_job)) . {SELECT (min( ?T22_age) as ?aggregation_T22_age_18 ) WHERE { ?T22 a <http://valuenet/ontop/person> . ?T22 <http://valuenet/ontop/age> ?T22_age . ?T22 <http://valuenet/ontop/job> ?T22_job . FILTER(?T22_job = 'engineer') . } } } ORDER BY ASC (?T1_age)
