nl_question,sparql_partial_uri,sparql_complete_uri
Find all the phone numbers.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_phone WHERE { ?T1 a :available_policies . ?T1 :customer_phone ?T1_customer_phone . }",SELECT ?T1_customer_phone WHERE { ?T1 a <http://valuenet/ontop/available_policies> . ?T1 <http://valuenet/ontop/customer_phone> ?T1_customer_phone . }
What are all the phone numbers?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_phone WHERE { ?T1 a :available_policies . ?T1 :customer_phone ?T1_customer_phone . }",SELECT ?T1_customer_phone WHERE { ?T1 a <http://valuenet/ontop/available_policies> . ?T1 <http://valuenet/ontop/customer_phone> ?T1_customer_phone . }
What are the customer phone numbers under the policy 'Life Insurance'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_phone WHERE { ?T1 a :available_policies . ?T1 :customer_phone ?T1_customer_phone . ?T1 :policy_type_code ?T1_policy_type_code . FILTER(?T1_policy_type_code = 'Life Insurance') . }",SELECT ?T1_customer_phone WHERE { ?T1 a <http://valuenet/ontop/available_policies> . ?T1 <http://valuenet/ontop/customer_phone> ?T1_customer_phone . ?T1 <http://valuenet/ontop/policy_type_code> ?T1_policy_type_code . FILTER(?T1_policy_type_code = 'Life Insurance') . }
What are the phone numbers of customers using the policy with the code 'Life Insurance'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_phone WHERE { ?T1 a :available_policies . ?T1 :customer_phone ?T1_customer_phone . ?T1 :policy_type_code ?T1_policy_type_code . FILTER(?T1_policy_type_code = 'Life Insurance') . }",SELECT ?T1_customer_phone WHERE { ?T1 a <http://valuenet/ontop/available_policies> . ?T1 <http://valuenet/ontop/customer_phone> ?T1_customer_phone . ?T1 <http://valuenet/ontop/policy_type_code> ?T1_policy_type_code . FILTER(?T1_policy_type_code = 'Life Insurance') . }
Which policy type has the most records in the database?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_policy_type_code (count( *) as ?aggregation_all) WHERE { ?T1 a :available_policies . ?T1 :policy_type_code ?T1_policy_type_code . } GROUP BY ?T1_policy_type_code ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_policy_type_code (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/available_policies> . ?T1 <http://valuenet/ontop/policy_type_code> ?T1_policy_type_code . } GROUP BY ?T1_policy_type_code ORDER BY DESC (?aggregation_all) LIMIT 1
Which policy type appears most frequently in the available policies?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_policy_type_code (count( *) as ?aggregation_all) WHERE { ?T1 a :available_policies . ?T1 :policy_type_code ?T1_policy_type_code . } GROUP BY ?T1_policy_type_code ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_policy_type_code (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/available_policies> . ?T1 <http://valuenet/ontop/policy_type_code> ?T1_policy_type_code . } GROUP BY ?T1_policy_type_code ORDER BY DESC (?aggregation_all) LIMIT 1
What are all the customer phone numbers under the most popular policy type?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_phone WHERE { ?T1 a :available_policies . ?T1 :customer_phone ?T1_customer_phone . ?T1 :policy_type_code ?T1_policy_type_code . FILTER(?T1_policy_type_code = (?T22_policy_type_code)) . {SELECT ?T22_policy_type_code (count( *) as ?aggregation_all) WHERE { ?T22 a :available_policies . ?T22 :policy_type_code ?T22_policy_type_code . } GROUP BY ?T22_policy_type_code ORDER BY DESC (?aggregation_all) LIMIT 1 } }",SELECT ?T1_customer_phone WHERE { ?T1 a <http://valuenet/ontop/available_policies> . ?T1 <http://valuenet/ontop/customer_phone> ?T1_customer_phone . ?T1 <http://valuenet/ontop/policy_type_code> ?T1_policy_type_code . FILTER(?T1_policy_type_code = (?T22_policy_type_code)) . {SELECT ?T22_policy_type_code (count( *) as ?aggregation_all) WHERE { ?T22 a <http://valuenet/ontop/available_policies> . ?T22 <http://valuenet/ontop/policy_type_code> ?T22_policy_type_code . } GROUP BY ?T22_policy_type_code ORDER BY DESC (?aggregation_all) LIMIT 1 } }
Find the phone numbers of customers using the most common policy type among the available policies.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_phone WHERE { ?T1 a :available_policies . ?T1 :customer_phone ?T1_customer_phone . ?T1 :policy_type_code ?T1_policy_type_code . FILTER(?T1_policy_type_code = (?T22_policy_type_code)) . {SELECT ?T22_policy_type_code (count( *) as ?aggregation_all) WHERE { ?T22 a :available_policies . ?T22 :policy_type_code ?T22_policy_type_code . } GROUP BY ?T22_policy_type_code ORDER BY DESC (?aggregation_all) LIMIT 1 } }",SELECT ?T1_customer_phone WHERE { ?T1 a <http://valuenet/ontop/available_policies> . ?T1 <http://valuenet/ontop/customer_phone> ?T1_customer_phone . ?T1 <http://valuenet/ontop/policy_type_code> ?T1_policy_type_code . FILTER(?T1_policy_type_code = (?T22_policy_type_code)) . {SELECT ?T22_policy_type_code (count( *) as ?aggregation_all) WHERE { ?T22 a <http://valuenet/ontop/available_policies> . ?T22 <http://valuenet/ontop/policy_type_code> ?T22_policy_type_code . } GROUP BY ?T22_policy_type_code ORDER BY DESC (?aggregation_all) LIMIT 1 } }
Find the policy type used by more than 4 customers.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_policy_type_code WHERE { ?T1 a :available_policies . ?T1 :policy_type_code ?T1_policy_type_code . } GROUP BY ?T1_policy_type_code HAVING(count( *) > 4)",SELECT ?T1_policy_type_code WHERE { ?T1 a <http://valuenet/ontop/available_policies> . ?T1 <http://valuenet/ontop/policy_type_code> ?T1_policy_type_code . } GROUP BY ?T1_policy_type_code HAVING(count( *) > 4)
Find the policy types more than 4 customers use. Show their type code.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_policy_type_code WHERE { ?T1 a :available_policies . ?T1 :policy_type_code ?T1_policy_type_code . } GROUP BY ?T1_policy_type_code HAVING(count( *) > 4)",SELECT ?T1_policy_type_code WHERE { ?T1 a <http://valuenet/ontop/available_policies> . ?T1 <http://valuenet/ontop/policy_type_code> ?T1_policy_type_code . } GROUP BY ?T1_policy_type_code HAVING(count( *) > 4)
