nl_question,sparql_partial_uri,sparql_complete_uri
Who is the founder of Sony?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_founder WHERE { ?T1 a :manufacturers . ?T1 :founder ?T1_founder . ?T1 :name ?T1_name . FILTER(?T1_name = 'Sony') . }",SELECT ?T1_founder WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/founder> ?T1_founder . ?T1 <http://valuenet/ontop/name> ?T1_name . FILTER(?T1_name = 'Sony') . }
Return the founder of Sony.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_founder WHERE { ?T1 a :manufacturers . ?T1 :founder ?T1_founder . ?T1 :name ?T1_name . FILTER(?T1_name = 'Sony') . }",SELECT ?T1_founder WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/founder> ?T1_founder . ?T1 <http://valuenet/ontop/name> ?T1_name . FILTER(?T1_name = 'Sony') . }
Where is the headquarter of the company founded by James?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_headquarter WHERE { ?T1 a :manufacturers . ?T1 :headquarter ?T1_headquarter . ?T1 :founder ?T1_founder . FILTER(?T1_founder = 'James') . }",SELECT ?T1_headquarter WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/headquarter> ?T1_headquarter . ?T1 <http://valuenet/ontop/founder> ?T1_founder . FILTER(?T1_founder = 'James') . }
What is the headquarter of the company whose founder is James?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_headquarter WHERE { ?T1 a :manufacturers . ?T1 :headquarter ?T1_headquarter . ?T1 :founder ?T1_founder . FILTER(?T1_founder = 'James') . }",SELECT ?T1_headquarter WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/headquarter> ?T1_headquarter . ?T1 <http://valuenet/ontop/founder> ?T1_founder . FILTER(?T1_founder = 'James') . }
"Find all manufacturers' names and their headquarters, sorted by the ones with highest revenue first.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_headquarter WHERE { ?T1 a :manufacturers . ?T1 :name ?T1_name . ?T1 :headquarter ?T1_headquarter . ?T1 :revenue ?T1_revenue . } ORDER BY DESC (?T1_revenue)",SELECT ?T1_name ?T1_headquarter WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/headquarter> ?T1_headquarter . ?T1 <http://valuenet/ontop/revenue> ?T1_revenue . } ORDER BY DESC (?T1_revenue)
"What are the names and headquarters of all manufacturers, ordered by revenue descending?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_headquarter WHERE { ?T1 a :manufacturers . ?T1 :name ?T1_name . ?T1 :headquarter ?T1_headquarter . ?T1 :revenue ?T1_revenue . } ORDER BY DESC (?T1_revenue)",SELECT ?T1_name ?T1_headquarter WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/headquarter> ?T1_headquarter . ?T1 <http://valuenet/ontop/revenue> ?T1_revenue . } ORDER BY DESC (?T1_revenue)
"What are the average, maximum and total revenues of all companies?","PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_revenue) as ?aggregation_T1_revenue_134 ) (max( ?T1_revenue) as ?aggregation_T1_revenue_103 ) (sum( ?T1_revenue) as ?aggregation_T1_revenue_118 ) WHERE { ?T1 a :manufacturers . ?T1 :revenue ?T1_revenue . ?T1 :revenue ?T1_revenue . ?T1 :revenue ?T1_revenue . }",SELECT (avg( ?T1_revenue) as ?aggregation_T1_revenue_134 ) (max( ?T1_revenue) as ?aggregation_T1_revenue_103 ) (sum( ?T1_revenue) as ?aggregation_T1_revenue_118 ) WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/revenue> ?T1_revenue . ?T1 <http://valuenet/ontop/revenue> ?T1_revenue . ?T1 <http://valuenet/ontop/revenue> ?T1_revenue . }
"Return the average, maximum, and total revenues across all manufacturers.","PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_revenue) as ?aggregation_T1_revenue_144 ) (max( ?T1_revenue) as ?aggregation_T1_revenue_195 ) (sum( ?T1_revenue) as ?aggregation_T1_revenue_161 ) WHERE { ?T1 a :manufacturers . ?T1 :revenue ?T1_revenue . ?T1 :revenue ?T1_revenue . ?T1 :revenue ?T1_revenue . }",SELECT (avg( ?T1_revenue) as ?aggregation_T1_revenue_144 ) (max( ?T1_revenue) as ?aggregation_T1_revenue_195 ) (sum( ?T1_revenue) as ?aggregation_T1_revenue_161 ) WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/revenue> ?T1_revenue . ?T1 <http://valuenet/ontop/revenue> ?T1_revenue . ?T1 <http://valuenet/ontop/revenue> ?T1_revenue . }
How many companies were created by Andy?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :manufacturers . ?T1 :founder ?T1_founder . FILTER(?T1_founder = 'Andy') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/founder> ?T1_founder . FILTER(?T1_founder = 'Andy') . }
Return the number of companies created by Andy.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :manufacturers . ?T1 :founder ?T1_founder . FILTER(?T1_founder = 'Andy') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/founder> ?T1_founder . FILTER(?T1_founder = 'Andy') . }
Find the total revenue created by the companies whose headquarter is located at Austin.,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_revenue) as ?aggregation_T1_revenue_101 ) WHERE { ?T1 a :manufacturers . ?T1 :revenue ?T1_revenue . ?T1 :headquarter ?T1_headquarter . FILTER(?T1_headquarter = 'Austin') . }",SELECT (sum( ?T1_revenue) as ?aggregation_T1_revenue_101 ) WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/revenue> ?T1_revenue . ?T1 <http://valuenet/ontop/headquarter> ?T1_headquarter . FILTER(?T1_headquarter = 'Austin') . }
What is the sum of revenue from companies with headquarters in Austin?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_revenue) as ?aggregation_T1_revenue_133 ) WHERE { ?T1 a :manufacturers . ?T1 :revenue ?T1_revenue . ?T1 :headquarter ?T1_headquarter . FILTER(?T1_headquarter = 'Austin') . }",SELECT (sum( ?T1_revenue) as ?aggregation_T1_revenue_133 ) WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/revenue> ?T1_revenue . ?T1 <http://valuenet/ontop/headquarter> ?T1_headquarter . FILTER(?T1_headquarter = 'Austin') . }
What are the different cities listed?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_headquarter WHERE { ?T1 a :manufacturers . ?T1 :headquarter ?T1_headquarter . }",SELECT DISTINCT ?T1_headquarter WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/headquarter> ?T1_headquarter . }
Give the distinct headquarters of manufacturers.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_headquarter WHERE { ?T1 a :manufacturers . ?T1 :headquarter ?T1_headquarter . }",SELECT DISTINCT ?T1_headquarter WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/headquarter> ?T1_headquarter . }
Find the number of manufactures that are based in Tokyo or Beijing.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :manufacturers . ?T1 :headquarter ?T1_headquarter . ?T1 :headquarter ?T1_headquarter . FILTER(?T1_headquarter = 'Tokyo' || ?T1_headquarter = 'Beijing') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/manufacturers> . ?T1 <http://valuenet/ontop/headquarter> ?T1_headquarter . ?T1 <http://valuenet/ontop/headquarter> ?T1_headquarter . FILTER(?T1_headquarter = 'Tokyo' || ?T1_headquarter = 'Beijing') . }
