nl_question,sparql_partial_uri,sparql_complete_uri
List the project details of the project both producing patent and paper as outcomes.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_project_details WHERE { ?T1 a :projects . ?T2 a :project_outcomes . ?T2 :ref-project ?T1 . ?T1 :project_details ?T1_project_details . ?T2 :outcome_code ?T2_outcome_code . FILTER(?T2_outcome_code = 'Paper') . FILTER (?T1_project_details in (?T3_project_details)) . ?T3 a :projects . ?T4 a :project_outcomes . ?T4 :ref-project ?T3 . ?T3 :project_details ?T3_project_details . ?T4 :outcome_code ?T4_outcome_code . FILTER(?T4_outcome_code = 'Patent') . }",SELECT DISTINCT ?T1_project_details WHERE { ?T1 a <http://valuenet/ontop/projects> . ?T2 a <http://valuenet/ontop/project_outcomes> . ?T2 <http://valuenet/ontop/ref-project> ?T1 . ?T1 <http://valuenet/ontop/project_details> ?T1_project_details . ?T2 <http://valuenet/ontop/outcome_code> ?T2_outcome_code . FILTER(?T2_outcome_code = 'Paper') . FILTER (?T1_project_details in (?T3_project_details)) . ?T3 a <http://valuenet/ontop/projects> . ?T4 a <http://valuenet/ontop/project_outcomes> . ?T4 <http://valuenet/ontop/ref-project> ?T3 . ?T3 <http://valuenet/ontop/project_details> ?T3_project_details . ?T4 <http://valuenet/ontop/outcome_code> ?T4_outcome_code . FILTER(?T4_outcome_code = 'Patent') . }
What are the details of the project that is producing both patents and papers as outcomes?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_project_details WHERE { ?T1 a :projects . ?T2 a :project_outcomes . ?T2 :ref-project ?T1 . ?T1 :project_details ?T1_project_details . ?T2 :outcome_code ?T2_outcome_code . FILTER(?T2_outcome_code = 'Paper') . FILTER (?T1_project_details in (?T3_project_details)) . ?T3 a :projects . ?T4 a :project_outcomes . ?T4 :ref-project ?T3 . ?T3 :project_details ?T3_project_details . ?T4 :outcome_code ?T4_outcome_code . FILTER(?T4_outcome_code = 'Patent') . }",SELECT DISTINCT ?T1_project_details WHERE { ?T1 a <http://valuenet/ontop/projects> . ?T2 a <http://valuenet/ontop/project_outcomes> . ?T2 <http://valuenet/ontop/ref-project> ?T1 . ?T1 <http://valuenet/ontop/project_details> ?T1_project_details . ?T2 <http://valuenet/ontop/outcome_code> ?T2_outcome_code . FILTER(?T2_outcome_code = 'Paper') . FILTER (?T1_project_details in (?T3_project_details)) . ?T3 a <http://valuenet/ontop/projects> . ?T4 a <http://valuenet/ontop/project_outcomes> . ?T4 <http://valuenet/ontop/ref-project> ?T3 . ?T3 <http://valuenet/ontop/project_details> ?T3_project_details . ?T4 <http://valuenet/ontop/outcome_code> ?T4_outcome_code . FILTER(?T4_outcome_code = 'Patent') . }
What is the total grant amount of the organisations described as research?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_grant_amount) as ?aggregation_T1_grant_amount_160 ) WHERE { ?T1 a :grants . ?T13 a :organisations . ?T1 :ref-organisation ?T13 . ?T1 :grant_amount ?T1_grant_amount . ?T2 :organisation_type_description ?T2_organisation_type_description . ?T2 a :organisation_types . ?T13 :ref-organisation_type ?T2 . ?T1 :grant_amount ?T1_grant_amount . ?T2 :organisation_type_description ?T2_organisation_type_description . FILTER(?T2_organisation_type_description = 'Research') . }",SELECT (sum( ?T1_grant_amount) as ?aggregation_T1_grant_amount_160 ) WHERE { ?T1 a <http://valuenet/ontop/grants> . ?T13 a <http://valuenet/ontop/organisations> . ?T1 <http://valuenet/ontop/ref-organisation> ?T13 . ?T1 <http://valuenet/ontop/grant_amount> ?T1_grant_amount . ?T2 <http://valuenet/ontop/organisation_type_description> ?T2_organisation_type_description . ?T2 a <http://valuenet/ontop/organisation_types> . ?T13 <http://valuenet/ontop/ref-organisation_type> ?T2 . ?T1 <http://valuenet/ontop/grant_amount> ?T1_grant_amount . ?T2 <http://valuenet/ontop/organisation_type_description> ?T2_organisation_type_description . FILTER(?T2_organisation_type_description = 'Research') . }
What is the total amount of grant money for research?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_grant_amount) as ?aggregation_T1_grant_amount_150 ) WHERE { ?T1 a :grants . ?T13 a :organisations . ?T1 :ref-organisation ?T13 . ?T1 :grant_amount ?T1_grant_amount . ?T2 :organisation_type_description ?T2_organisation_type_description . ?T2 a :organisation_types . ?T13 :ref-organisation_type ?T2 . ?T1 :grant_amount ?T1_grant_amount . ?T2 :organisation_type_description ?T2_organisation_type_description . FILTER(?T2_organisation_type_description = 'Research') . }",SELECT (sum( ?T1_grant_amount) as ?aggregation_T1_grant_amount_150 ) WHERE { ?T1 a <http://valuenet/ontop/grants> . ?T13 a <http://valuenet/ontop/organisations> . ?T1 <http://valuenet/ontop/ref-organisation> ?T13 . ?T1 <http://valuenet/ontop/grant_amount> ?T1_grant_amount . ?T2 <http://valuenet/ontop/organisation_type_description> ?T2_organisation_type_description . ?T2 a <http://valuenet/ontop/organisation_types> . ?T13 <http://valuenet/ontop/ref-organisation_type> ?T2 . ?T1 <http://valuenet/ontop/grant_amount> ?T1_grant_amount . ?T2 <http://valuenet/ontop/organisation_type_description> ?T2_organisation_type_description . FILTER(?T2_organisation_type_description = 'Research') . }
List from which date and to which date these staff work: project staff of the project which hires the most staffs,"PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1?col2 WHERE { { SELECT (?T1_date_from as ?col1) (?T1_date_to as ?col2) WHERE { ?T1 a :project_staff . ?T1 :date_from ?T1_date_from . ?T1 :date_to ?T1_date_to . ?T1 :project_id ?T1_project_id . FILTER(?T1_project_id in (?T22_project_id)) . }} UNION {SELECT (?T1_date_from as ?col1) (?T1_date_to as ?col2) WHERE { ?T1 a :project_staff . ?T1 :date_from ?T1_date_from . ?T1 :date_to ?T1_date_to . ?T1 :role_code ?T1_role_code . FILTER(?T1_role_code = 'leader') . } } }",SELECT distinct?col1?col2 WHERE { { SELECT (?T1_date_from as ?col1) (?T1_date_to as ?col2) WHERE { ?T1 a <http://valuenet/ontop/project_staff> . ?T1 <http://valuenet/ontop/date_from> ?T1_date_from . ?T1 <http://valuenet/ontop/date_to> ?T1_date_to . ?T1 <http://valuenet/ontop/project_id> ?T1_project_id . FILTER(?T1_project_id in (?T22_project_id)) . }} UNION {SELECT (?T1_date_from as ?col1) (?T1_date_to as ?col2) WHERE { ?T1 a <http://valuenet/ontop/project_staff> . ?T1 <http://valuenet/ontop/date_from> ?T1_date_from . ?T1 <http://valuenet/ontop/date_to> ?T1_date_to . ?T1 <http://valuenet/ontop/role_code> ?T1_role_code . FILTER(?T1_role_code = 'leader') . } } }
From what date and to what date do the staff work on a project that has the most staff and has staff in a leader role?,"PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1?col2 WHERE { { SELECT (?T1_date_from as ?col1) (?T1_date_to as ?col2) WHERE { ?T1 a :project_staff . ?T1 :date_from ?T1_date_from . ?T1 :date_to ?T1_date_to . ?T1 :project_id ?T1_project_id . FILTER(?T1_project_id in (?T22_project_id)) . }} UNION {SELECT (?T1_date_from as ?col1) (?T1_date_to as ?col2) WHERE { ?T1 a :project_staff . ?T1 :date_from ?T1_date_from . ?T1 :date_to ?T1_date_to . ?T1 :role_code ?T1_role_code . FILTER(?T1_role_code = 'leader') . } } }",SELECT distinct?col1?col2 WHERE { { SELECT (?T1_date_from as ?col1) (?T1_date_to as ?col2) WHERE { ?T1 a <http://valuenet/ontop/project_staff> . ?T1 <http://valuenet/ontop/date_from> ?T1_date_from . ?T1 <http://valuenet/ontop/date_to> ?T1_date_to . ?T1 <http://valuenet/ontop/project_id> ?T1_project_id . FILTER(?T1_project_id in (?T22_project_id)) . }} UNION {SELECT (?T1_date_from as ?col1) (?T1_date_to as ?col2) WHERE { ?T1 a <http://valuenet/ontop/project_staff> . ?T1 <http://valuenet/ontop/date_from> ?T1_date_from . ?T1 <http://valuenet/ontop/date_to> ?T1_date_to . ?T1 <http://valuenet/ontop/role_code> ?T1_role_code . FILTER(?T1_role_code = 'leader') . } } }
Find the organisation ids and details of the organisations which are involved in,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_organisation_id ?T1_organisation_details WHERE { ?T1 a :organisations . ?T2 a :grants . ?T2 :ref-organisation ?T1 . ?T1 :organisation_id ?T1_organisation_id . ?T1 :organisation_details ?T1_organisation_details . ?T2 :grant_amount ?T2_grant_amount . } GROUP BY ?T1_organisation_id ?T1_organisation_details HAVING(sum( ?T2_grant_amount) > 6000)",SELECT ?T1_organisation_id ?T1_organisation_details WHERE { ?T1 a <http://valuenet/ontop/organisations> . ?T2 a <http://valuenet/ontop/grants> . ?T2 <http://valuenet/ontop/ref-organisation> ?T1 . ?T1 <http://valuenet/ontop/organisation_id> ?T1_organisation_id . ?T1 <http://valuenet/ontop/organisation_details> ?T1_organisation_details . ?T2 <http://valuenet/ontop/grant_amount> ?T2_grant_amount . } GROUP BY ?T1_organisation_id ?T1_organisation_details HAVING(sum( ?T2_grant_amount) > 6000)
What are the ids and details for all organizations that have grants of more than 6000 dollars?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_organisation_id ?T1_organisation_details WHERE { ?T1 a :organisations . ?T2 a :grants . ?T2 :ref-organisation ?T1 . ?T1 :organisation_id ?T1_organisation_id . ?T1 :organisation_details ?T1_organisation_details . ?T2 :grant_amount ?T2_grant_amount . } GROUP BY ?T1_organisation_id ?T1_organisation_details HAVING(sum( ?T2_grant_amount) > 6000)",SELECT ?T1_organisation_id ?T1_organisation_details WHERE { ?T1 a <http://valuenet/ontop/organisations> . ?T2 a <http://valuenet/ontop/grants> . ?T2 <http://valuenet/ontop/ref-organisation> ?T1 . ?T1 <http://valuenet/ontop/organisation_id> ?T1_organisation_id . ?T1 <http://valuenet/ontop/organisation_details> ?T1_organisation_details . ?T2 <http://valuenet/ontop/grant_amount> ?T2_grant_amount . } GROUP BY ?T1_organisation_id ?T1_organisation_details HAVING(sum( ?T2_grant_amount) > 6000)
What is the organisation type and id of the organisation which has the most number of research staff?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_organisation_type (count( *) as ?aggregation_all) ?T1_organisation_id WHERE { ?T1 a :organisations . ?T2 a :research_staff . ?T2 :ref-employer_organisation ?T1 . ?T1 :organisation_type ?T1_organisation_type . ?T1 :organisation_id ?T1_organisation_id . } GROUP BY ?T1_organisation_type ?T1_organisation_id ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_organisation_type (count( *) as ?aggregation_all) ?T1_organisation_id WHERE { ?T1 a <http://valuenet/ontop/organisations> . ?T2 a <http://valuenet/ontop/research_staff> . ?T2 <http://valuenet/ontop/ref-employer_organisation> ?T1 . ?T1 <http://valuenet/ontop/organisation_type> ?T1_organisation_type . ?T1 <http://valuenet/ontop/organisation_id> ?T1_organisation_id . } GROUP BY ?T1_organisation_type ?T1_organisation_id ORDER BY DESC (?aggregation_all) LIMIT 1
What is the type and id of the organization that has the most research staff?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_organisation_type (count( *) as ?aggregation_all) ?T1_organisation_id WHERE { ?T1 a :organisations . ?T2 a :research_staff . ?T2 :ref-employer_organisation ?T1 . ?T1 :organisation_type ?T1_organisation_type . ?T1 :organisation_id ?T1_organisation_id . } GROUP BY ?T1_organisation_type ?T1_organisation_id ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_organisation_type (count( *) as ?aggregation_all) ?T1_organisation_id WHERE { ?T1 a <http://valuenet/ontop/organisations> . ?T2 a <http://valuenet/ontop/research_staff> . ?T2 <http://valuenet/ontop/ref-employer_organisation> ?T1 . ?T1 <http://valuenet/ontop/organisation_type> ?T1_organisation_type . ?T1 <http://valuenet/ontop/organisation_id> ?T1_organisation_id . } GROUP BY ?T1_organisation_type ?T1_organisation_id ORDER BY DESC (?aggregation_all) LIMIT 1
