nl_question,sparql_partial_uri,sparql_complete_uri
How many buildings are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :building . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/building> . }
"Show the name, street address, and number of floors for all buildings ordered by the number of floors.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_street_address ?T1_floors WHERE { ?T1 a :building . ?T1 :name ?T1_name . ?T1 :street_address ?T1_street_address . ?T1 :floors ?T1_floors . ?T1 :floors ?T1_floors . } ORDER BY ASC (?T1_floors)",SELECT ?T1_name ?T1_street_address ?T1_floors WHERE { ?T1 a <http://valuenet/ontop/building> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/street_address> ?T1_street_address . ?T1 <http://valuenet/ontop/floors> ?T1_floors . ?T1 <http://valuenet/ontop/floors> ?T1_floors . } ORDER BY ASC (?T1_floors)
What is the name of the tallest building?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :building . ?T1 :name ?T1_name . ?T1 :height_feet ?T1_height_feet . } ORDER BY DESC (?T1_height_feet) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/building> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/height_feet> ?T1_height_feet . } ORDER BY DESC (?T1_height_feet) LIMIT 1
"What are the average, maximum, and minimum number of floors for all buildings?","PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_floors) as ?aggregation_T1_floors_73 ) (max( ?T1_floors) as ?aggregation_T1_floors_141 ) (min( ?T1_floors) as ?aggregation_T1_floors_26 ) WHERE { ?T1 a :building . ?T1 :floors ?T1_floors . ?T1 :floors ?T1_floors . ?T1 :floors ?T1_floors . }",SELECT (avg( ?T1_floors) as ?aggregation_T1_floors_73 ) (max( ?T1_floors) as ?aggregation_T1_floors_141 ) (min( ?T1_floors) as ?aggregation_T1_floors_26 ) WHERE { ?T1 a <http://valuenet/ontop/building> . ?T1 <http://valuenet/ontop/floors> ?T1_floors . ?T1 <http://valuenet/ontop/floors> ?T1_floors . ?T1 <http://valuenet/ontop/floors> ?T1_floors . }
Show the number of buildings with a height above the average or a number of floors above the average.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :building . ?T1 :height_feet ?T1_height_feet . ?T1 :floors ?T1_floors . FILTER(?T1_height_feet > (?aggregation_T22_height_feet_107) || ?T1_floors > (?aggregation_T22_floors_26)) . {SELECT (avg( ?T22_height_feet) as ?aggregation_T22_height_feet_107 ) WHERE { ?T22 a :building . ?T22 :height_feet ?T22_height_feet . } } {SELECT (avg( ?T22_floors) as ?aggregation_T22_floors_26 ) WHERE { ?T22 a :building . ?T22 :floors ?T22_floors . } } }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/building> . ?T1 <http://valuenet/ontop/height_feet> ?T1_height_feet . ?T1 <http://valuenet/ontop/floors> ?T1_floors . FILTER(?T1_height_feet > (?aggregation_T22_height_feet_107) || ?T1_floors > (?aggregation_T22_floors_26)) . {SELECT (avg( ?T22_height_feet) as ?aggregation_T22_height_feet_107 ) WHERE { ?T22 a <http://valuenet/ontop/building> . ?T22 <http://valuenet/ontop/height_feet> ?T22_height_feet . } } {SELECT (avg( ?T22_floors) as ?aggregation_T22_floors_26 ) WHERE { ?T22 a <http://valuenet/ontop/building> . ?T22 <http://valuenet/ontop/floors> ?T22_floors . } } }
List the names of buildings with at least 200 feet of height and with at least 20 floors.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :building . ?T1 :name ?T1_name . ?T1 :height_feet ?T1_height_feet . ?T1 :floors ?T1_floors . FILTER(?T1_height_feet >= 200 && ?T1_floors >= 20) . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/building> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/height_feet> ?T1_height_feet . ?T1 <http://valuenet/ontop/floors> ?T1_floors . FILTER(?T1_height_feet >= 200 && ?T1_floors >= 20) . }
Show the names and locations of institutions that are founded after 1990 and have the type 'Private'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_institution ?T1_location WHERE { ?T1 a :institution . ?T1 :institution ?T1_institution . ?T1 :location ?T1_location . ?T1 :founded ?T1_founded . ?T1 :type ?T1_type . FILTER(?T1_founded > 1990 && ?T1_type = 'Private') . }",SELECT ?T1_institution ?T1_location WHERE { ?T1 a <http://valuenet/ontop/institution> . ?T1 <http://valuenet/ontop/institution> ?T1_institution . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/founded> ?T1_founded . ?T1 <http://valuenet/ontop/type> ?T1_type . FILTER(?T1_founded > 1990 && ?T1_type = 'Private') . }
"Show institution types, along with the number of institutions and total enrollment for each type.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_type (count( *) as ?aggregation_all) (sum( ?T1_enrollment) as ?aggregation_T1_enrollment_49 ) WHERE { ?T1 a :institution . ?T1 :type ?T1_type . ?T1 :enrollment ?T1_enrollment . } GROUP BY ?T1_type",SELECT ?T1_type (count( *) as ?aggregation_all) (sum( ?T1_enrollment) as ?aggregation_T1_enrollment_49 ) WHERE { ?T1 a <http://valuenet/ontop/institution> . ?T1 <http://valuenet/ontop/type> ?T1_type . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . } GROUP BY ?T1_type
Show the institution type with the largest number of institutions.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_type (count( *) as ?aggregation_all) WHERE { ?T1 a :institution . ?T1 :type ?T1_type . } GROUP BY ?T1_type ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_type (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/institution> . ?T1 <http://valuenet/ontop/type> ?T1_type . } GROUP BY ?T1_type ORDER BY DESC (?aggregation_all) LIMIT 1
Show the institution type with an institution founded after 1990 and an institution with at least 1000 enrollment.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_type WHERE { ?T1 a :institution . ?T1 :type ?T1_type . ?T1 :founded ?T1_founded . ?T1 :enrollment ?T1_enrollment . FILTER(?T1_founded > 1990 && ?T1_enrollment >= 1000) . }",SELECT ?T1_type WHERE { ?T1 a <http://valuenet/ontop/institution> . ?T1 <http://valuenet/ontop/type> ?T1_type . ?T1 <http://valuenet/ontop/founded> ?T1_founded . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . FILTER(?T1_founded > 1990 && ?T1_enrollment >= 1000) . }
