nl_question,sparql_partial_uri,sparql_complete_uri
How many main stream browsers whose market share is at least 5 exist?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :browser . ?T1 :market_share ?T1_market_share . FILTER(?T1_market_share >= 5) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/browser> . ?T1 <http://valuenet/ontop/market_share> ?T1_market_share . FILTER(?T1_market_share >= 5) . }
List the name of browsers in descending order by market share.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :browser . ?T1 :name ?T1_name . ?T1 :market_share ?T1_market_share . } ORDER BY DESC (?T1_market_share)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/browser> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/market_share> ?T1_market_share . } ORDER BY DESC (?T1_market_share)
"List the ids, names and market shares of all browsers.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id ?T1_name ?T1_market_share WHERE { ?T1 a :browser . ?T1 :id ?T1_id . ?T1 :name ?T1_name . ?T1 :market_share ?T1_market_share . }",SELECT ?T1_id ?T1_name ?T1_market_share WHERE { ?T1 a <http://valuenet/ontop/browser> . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/market_share> ?T1_market_share . }
"What is the maximum, minimum and average market share of the listed browsers?","PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_market_share) as ?aggregation_T1_market_share_17 ) (min( ?T1_market_share) as ?aggregation_T1_market_share_131 ) (avg( ?T1_market_share) as ?aggregation_T1_market_share_74 ) WHERE { ?T1 a :browser . ?T1 :market_share ?T1_market_share . ?T1 :market_share ?T1_market_share . ?T1 :market_share ?T1_market_share . }",SELECT (max( ?T1_market_share) as ?aggregation_T1_market_share_17 ) (min( ?T1_market_share) as ?aggregation_T1_market_share_131 ) (avg( ?T1_market_share) as ?aggregation_T1_market_share_74 ) WHERE { ?T1 a <http://valuenet/ontop/browser> . ?T1 <http://valuenet/ontop/market_share> ?T1_market_share . ?T1 <http://valuenet/ontop/market_share> ?T1_market_share . ?T1 <http://valuenet/ontop/market_share> ?T1_market_share . }
What is the id and market share of the browser Safari?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id ?T1_market_share WHERE { ?T1 a :browser . ?T1 :id ?T1_id . ?T1 :market_share ?T1_market_share . ?T1 :name ?T1_name . FILTER(?T1_name = 'Safari') . }",SELECT ?T1_id ?T1_market_share WHERE { ?T1 a <http://valuenet/ontop/browser> . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/market_share> ?T1_market_share . ?T1 <http://valuenet/ontop/name> ?T1_name . FILTER(?T1_name = 'Safari') . }
What are the name and os of web client accelerators that do not work with only a 'Broadband' type connection?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_operating_system WHERE { ?T1 a :web_client_accelerator . ?T1 :name ?T1_name . ?T1 :operating_system ?T1_operating_system . ?T1 :connection ?T1_connection . FILTER(?T1_connection != 'Broadband') . }",SELECT ?T1_name ?T1_operating_system WHERE { ?T1 a <http://valuenet/ontop/web_client_accelerator> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/operating_system> ?T1_operating_system . ?T1 <http://valuenet/ontop/connection> ?T1_connection . FILTER(?T1_connection != 'Broadband') . }
What is the name of the browser that became compatible with the accelerator 'CProxy' after year 1998 ?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :browser . ?T3 a :accelerator_compatible_browser . ?T3 :ref-browser ?T1 . ?T1 :name ?T1_name . ?T2 :name ?T2_name . ?T3 :compatible_since_year ?T3_compatible_since_year . ?T2 a :web_client_accelerator . ?T3 :ref-accelerator ?T2 . ?T1 :name ?T1_name . ?T2 :name ?T2_name . ?T3 :compatible_since_year ?T3_compatible_since_year . FILTER(?T2_name = 'CProxy' && ?T3_compatible_since_year > 1998) . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/browser> . ?T3 a <http://valuenet/ontop/accelerator_compatible_browser> . ?T3 <http://valuenet/ontop/ref-browser> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/name> ?T2_name . ?T3 <http://valuenet/ontop/compatible_since_year> ?T3_compatible_since_year . ?T2 a <http://valuenet/ontop/web_client_accelerator> . ?T3 <http://valuenet/ontop/ref-accelerator> ?T2 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/name> ?T2_name . ?T3 <http://valuenet/ontop/compatible_since_year> ?T3_compatible_since_year . FILTER(?T2_name = 'CProxy' && ?T3_compatible_since_year > 1998) . }
What are the ids and names of the web accelerators that are compatible with two or more browsers?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id ?T1_name WHERE { ?T1 a :web_client_accelerator . ?T2 a :accelerator_compatible_browser . ?T2 :ref-accelerator ?T1 . ?T1 :id ?T1_id . ?T1 :name ?T1_name . } GROUP BY ?T1_id ?T1_name HAVING(count( *) >= 2)",SELECT ?T1_id ?T1_name WHERE { ?T1 a <http://valuenet/ontop/web_client_accelerator> . ?T2 a <http://valuenet/ontop/accelerator_compatible_browser> . ?T2 <http://valuenet/ontop/ref-accelerator> ?T1 . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/name> ?T1_name . } GROUP BY ?T1_id ?T1_name HAVING(count( *) >= 2)
What is the id and name of the browser that is compatible with the most web accelerators?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id (count( *) as ?aggregation_all) ?T1_name WHERE { ?T1 a :browser . ?T2 a :accelerator_compatible_browser . ?T2 :ref-browser ?T1 . ?T1 :id ?T1_id . ?T1 :name ?T1_name . } GROUP BY ?T1_id ?T1_name ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_id (count( *) as ?aggregation_all) ?T1_name WHERE { ?T1 a <http://valuenet/ontop/browser> . ?T2 a <http://valuenet/ontop/accelerator_compatible_browser> . ?T2 <http://valuenet/ontop/ref-browser> ?T1 . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/name> ?T1_name . } GROUP BY ?T1_id ?T1_name ORDER BY DESC (?aggregation_all) LIMIT 1
When did the web accelerator 'CACHEbox' and browser 'Internet Explorer' become compatible?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_compatible_since_year WHERE { ?T1 a :accelerator_compatible_browser . ?T2 a :web_client_accelerator . ?T1 :ref-accelerator ?T2 . ?T1 :compatible_since_year ?T1_compatible_since_year . ?T2 :name ?T2_name . ?T3 :name ?T3_name . ?T3 a :browser . ?T1 :ref-browser ?T3 . ?T1 :compatible_since_year ?T1_compatible_since_year . ?T2 :name ?T2_name . ?T3 :name ?T3_name . FILTER(?T2_name = 'CACHEbox' && ?T3_name = 'Internet Explorer') . }",SELECT ?T1_compatible_since_year WHERE { ?T1 a <http://valuenet/ontop/accelerator_compatible_browser> . ?T2 a <http://valuenet/ontop/web_client_accelerator> . ?T1 <http://valuenet/ontop/ref-accelerator> ?T2 . ?T1 <http://valuenet/ontop/compatible_since_year> ?T1_compatible_since_year . ?T2 <http://valuenet/ontop/name> ?T2_name . ?T3 <http://valuenet/ontop/name> ?T3_name . ?T3 a <http://valuenet/ontop/browser> . ?T1 <http://valuenet/ontop/ref-browser> ?T3 . ?T1 <http://valuenet/ontop/compatible_since_year> ?T1_compatible_since_year . ?T2 <http://valuenet/ontop/name> ?T2_name . ?T3 <http://valuenet/ontop/name> ?T3_name . FILTER(?T2_name = 'CACHEbox' && ?T3_name = 'Internet Explorer') . }
